Category_1,Category_2,Percentage
0-4,Female,2.4
0-4,Male,2.3
10-14,Female,2.8
10-14,Male,2.7
100+,Female,0.0
100+,Male,0.0
15-19,Female,3.5
15-19,Male,3.5
20-24,Female,3.6
20-24,Male,3.8
25-29,Female,3.8
25-29,Male,4.1
30-34,Female,3.9
30-34,Male,4.4
35-39,Female,3.4
35-39,Male,3.8
40-44,Female,3.8
40-44,Male,4.0
45-49,Female,3.5
45-49,Male,3.6
5-9,Female,2.4
5-9,Male,2.4
50-54,Female,3.1
50-54,Male,3.2
55-59,Female,3.4
55-59,Male,3.3
60-64,Female,3.2
60-64,Male,3.0
65-69,Female,2.6
65-69,Male,2.4
70-74,Female,2.0
70-74,Male,1.7
75-79,Female,1.2
75-79,Male,0.9
80-84,Female,0.7
80-84,Male,0.5
85-89,Female,0.4
85-89,Male,0.2
90-94,Female,0.2
90-94,Male,0.1
95-99,Female,0.0
95-99,Male,0.0
