Category_1,Category_2,Percentage
0-4,Female,7.8
0-4,Male,8.0
10-14,Female,6.8
10-14,Male,6.6
100+,Female,0.0
100+,Male,0.0
15-19,Female,5.4
15-19,Male,5.0
20-24,Female,3.7
20-24,Male,2.8
25-29,Female,3.9
25-29,Male,2.6
30-34,Female,4.0
30-34,Male,2.8
35-39,Female,3.7
35-39,Male,2.9
40-44,Female,2.9
40-44,Male,2.6
45-49,Female,2.2
45-49,Male,2.4
5-9,Female,7.3
5-9,Male,7.1
50-54,Female,1.4
50-54,Male,1.5
55-59,Female,1.2
55-59,Male,1.2
60-64,Female,0.8
60-64,Male,0.9
65-69,Female,0.5
65-69,Male,0.6
70-74,Female,0.3
70-74,Male,0.3
75-79,Female,0.2
75-79,Male,0.2
80-84,Female,0.1
80-84,Male,0.1
85-89,Female,0.1
85-89,Male,0.1
90-94,Female,0.0
90-94,Male,0.0
95-99,Female,0.0
95-99,Male,0.0
