Category_1,Category_2,Percentage
0-4,Female,4.6
0-4,Male,4.8
10-14,Female,4.7
10-14,Male,5.0
100+,Female,0.0
100+,Male,0.0
15-19,Female,5.0
15-19,Male,5.1
20-24,Female,5.1
20-24,Male,4.8
25-29,Female,4.8
25-29,Male,4.2
30-34,Female,4.2
30-34,Male,3.3
35-39,Female,3.7
35-39,Male,2.9
40-44,Female,3.2
40-44,Male,2.6
45-49,Female,2.7
45-49,Male,2.3
5-9,Female,4.6
5-9,Male,5.0
50-54,Female,2.3
50-54,Male,2.1
55-59,Female,1.9
55-59,Male,1.7
60-64,Female,1.6
60-64,Male,1.5
65-69,Female,1.3
65-69,Male,1.2
70-74,Female,1.0
70-74,Male,0.9
75-79,Female,0.6
75-79,Male,0.5
80-84,Female,0.3
80-84,Male,0.2
85-89,Female,0.1
85-89,Male,0.1
90-94,Female,0.0
90-94,Male,0.0
95-99,Female,0.0
95-99,Male,0.0
