Category_1,Category_2,Percentage
0-4,Female,3.5
0-4,Male,3.7
10-14,Female,3.6
10-14,Male,3.7
100+,Female,0.0
100+,Male,0.0
15-19,Female,3.7
15-19,Male,3.7
20-24,Female,3.6
20-24,Male,3.6
25-29,Female,3.3
25-29,Male,3.3
30-34,Female,3.7
30-34,Male,3.6
35-39,Female,3.7
35-39,Male,3.6
40-44,Female,3.6
40-44,Male,3.4
45-49,Female,3.5
45-49,Male,3.3
5-9,Female,3.5
5-9,Male,3.6
50-54,Female,3.5
50-54,Male,3.3
55-59,Female,3.0
55-59,Male,2.9
60-64,Female,2.5
60-64,Male,2.4
65-69,Female,1.9
65-69,Male,1.8
70-74,Female,1.5
70-74,Male,1.4
75-79,Female,1.2
75-79,Male,1.1
80-84,Female,0.8
80-84,Male,0.6
85-89,Female,0.4
85-89,Male,0.2
90-94,Female,0.2
90-94,Male,0.1
95-99,Female,0.0
95-99,Male,0.0
