Category_1,Category_2,Percentage
0-4,Female,4.7
0-4,Male,4.9
10-14,Female,4.8
10-14,Male,5.0
100+,Female,0.0
100+,Male,0.0
15-19,Female,4.7
15-19,Male,4.8
20-24,Female,4.5
20-24,Male,4.6
25-29,Female,4.4
25-29,Male,4.5
30-34,Female,4.2
30-34,Male,4.1
35-39,Female,3.8
35-39,Male,3.5
40-44,Female,3.3
40-44,Male,3.0
45-49,Female,2.8
45-49,Male,2.6
5-9,Female,4.8
5-9,Male,5.0
50-54,Female,2.3
50-54,Male,2.1
55-59,Female,1.9
55-59,Male,1.6
60-64,Female,1.5
60-64,Male,1.2
65-69,Female,1.1
65-69,Male,0.9
70-74,Female,0.9
70-74,Male,0.7
75-79,Female,0.6
75-79,Male,0.4
80-84,Female,0.3
80-84,Male,0.2
85-89,Female,0.2
85-89,Male,0.1
90-94,Female,0.0
90-94,Male,0.0
95-99,Female,0.0
95-99,Male,0.0
