Category_1,Category_2,Percentage
0-4,Female,8.8
0-4,Male,9.1
10-14,Female,6.6
10-14,Male,6.9
100+,Female,0.0
100+,Male,0.0
15-19,Female,5.5
15-19,Male,5.7
20-24,Female,4.5
20-24,Male,4.6
25-29,Female,3.5
25-29,Male,3.6
30-34,Female,2.7
30-34,Male,2.8
35-39,Female,2.2
35-39,Male,2.3
40-44,Female,1.8
40-44,Male,1.9
45-49,Female,1.5
45-49,Male,1.6
5-9,Female,7.7
5-9,Male,7.9
50-54,Female,1.2
50-54,Male,1.2
55-59,Female,1.0
55-59,Male,1.0
60-64,Female,0.8
60-64,Male,0.8
65-69,Female,0.6
65-69,Male,0.6
70-74,Female,0.4
70-74,Male,0.4
75-79,Female,0.3
75-79,Male,0.2
80-84,Female,0.1
80-84,Male,0.1
85-89,Female,0.0
85-89,Male,0.0
90-94,Female,0.0
90-94,Male,0.0
95-99,Female,0.0
95-99,Male,0.0
