Category_1,Category_2,Percentage
0-4,Female,2.5
0-4,Male,2.7
10-14,Female,2.9
10-14,Male,3.0
100+,Female,0.0
100+,Male,0.0
15-19,Female,2.8
15-19,Male,2.8
20-24,Female,2.9
20-24,Male,3.0
25-29,Female,3.0
25-29,Male,3.1
30-34,Female,3.3
30-34,Male,3.3
35-39,Female,3.4
35-39,Male,3.4
40-44,Female,3.6
40-44,Male,3.5
45-49,Female,3.5
45-49,Male,3.4
5-9,Female,2.9
5-9,Male,3.0
50-54,Female,3.5
50-54,Male,3.3
55-59,Female,3.6
55-59,Male,3.3
60-64,Female,3.5
60-64,Male,3.2
65-69,Female,3.3
65-69,Male,2.9
70-74,Female,2.8
70-74,Male,2.2
75-79,Female,1.9
75-79,Male,1.3
80-84,Female,1.2
80-84,Male,0.7
85-89,Female,0.6
85-89,Male,0.3
90-94,Female,0.2
90-94,Male,0.1
95-99,Female,0.0
95-99,Male,0.0
