Category_1,Category_2,Percentage
0-4,Female,4.2
0-4,Male,4.3
10-14,Female,3.7
10-14,Male,3.8
100+,Female,0.0
100+,Male,0.0
15-19,Female,2.7
15-19,Male,2.8
20-24,Female,2.8
20-24,Male,5.0
25-29,Female,3.4
25-29,Male,7.5
30-34,Female,3.8
30-34,Male,8.8
35-39,Female,3.7
35-39,Male,8.6
40-44,Female,2.9
40-44,Male,6.3
45-49,Female,2.0
45-49,Male,4.0
5-9,Female,4.6
5-9,Male,4.7
50-54,Female,1.2
50-54,Male,2.6
55-59,Female,0.9
55-59,Male,1.5
60-64,Female,0.7
60-64,Male,0.9
65-69,Female,0.5
65-69,Male,0.5
70-74,Female,0.4
70-74,Male,0.4
75-79,Female,0.2
75-79,Male,0.2
80-84,Female,0.1
80-84,Male,0.1
85-89,Female,0.1
85-89,Male,0.1
90-94,Female,0.0
90-94,Male,0.0
95-99,Female,0.0
95-99,Male,0.0
