Category_1,Category_2,Percentage
0-4,Female,6.3
0-4,Male,6.6
10-14,Female,5.8
10-14,Male,6.1
15-19,Female,5.1
15-19,Male,5.4
20-24,Female,4.6
20-24,Male,4.8
25-29,Female,3.9
25-29,Male,4.1
30-34,Female,3.4
30-34,Male,3.6
35-39,Female,3.0
35-39,Male,3.1
40-44,Female,2.5
40-44,Male,2.5
45-49,Female,2.0
45-49,Male,2.0
5-9,Female,6.0
5-9,Male,6.2
50-54,Female,1.7
50-54,Male,1.7
55-59,Female,1.5
55-59,Male,1.4
60-64,Female,1.2
60-64,Male,1.2
65-69,Female,0.9
65-69,Male,0.8
70-74,Female,0.6
70-74,Male,0.5
75-79,Female,0.4
75-79,Male,0.3
80-84,Female,0.2
80-84,Male,0.2
85+,Female,0.1
85+,Male,0.1
