Category_1,Category_2,Percentage
0-4,Female,3.9
0-4,Male,4.1
10-14,Female,4.2
10-14,Male,4.3
15-19,Female,4.0
15-19,Male,4.2
20-24,Female,3.9
20-24,Male,4.0
25-29,Female,3.8
25-29,Male,3.9
30-34,Female,3.7
30-34,Male,3.7
35-39,Female,3.5
35-39,Male,3.6
40-44,Female,3.3
40-44,Male,3.3
45-49,Female,3.0
45-49,Male,3.0
5-9,Female,4.2
5-9,Male,4.5
50-54,Female,2.9
50-54,Male,2.8
55-59,Female,2.5
55-59,Male,2.4
60-64,Female,2.1
60-64,Male,2.0
65-69,Female,1.6
65-69,Male,1.5
70-74,Female,1.3
70-74,Male,1.1
75-79,Female,0.9
75-79,Male,0.7
80-84,Female,0.6
80-84,Male,0.4
85+,Female,0.6
85+,Male,0.3
