Category_1,Category_2,Percentage
0-4,Female,5.7
0-4,Male,6.1
10-14,Female,5.1
10-14,Male,5.6
15-19,Female,4.7
15-19,Male,5.2
20-24,Female,4.4
20-24,Male,4.8
25-29,Female,4.1
25-29,Male,4.4
30-34,Female,3.8
30-34,Male,4.0
35-39,Female,3.4
35-39,Male,3.4
40-44,Female,3.0
40-44,Male,2.9
45-49,Female,2.5
45-49,Male,2.5
5-9,Female,5.4
5-9,Male,5.9
50-54,Female,2.0
50-54,Male,2.1
55-59,Female,1.6
55-59,Male,1.7
60-64,Female,1.1
60-64,Male,1.3
65-69,Female,0.7
65-69,Male,0.8
70-74,Female,0.5
70-74,Male,0.5
75-79,Female,0.3
75-79,Male,0.3
80-84,Female,0.1
80-84,Male,0.1
85+,Female,0.1
85+,Male,0.0
