Category_1,Category_2,Percentage
0-4,Female,4.8
0-4,Male,5.1
10-14,Female,4.4
10-14,Male,4.6
15-19,Female,4.2
15-19,Male,4.3
20-24,Female,4.2
20-24,Male,4.4
25-29,Female,4.3
25-29,Male,4.4
30-34,Female,4.1
30-34,Male,4.2
35-39,Female,3.7
35-39,Male,3.8
40-44,Female,3.1
40-44,Male,3.1
45-49,Female,2.5
45-49,Male,2.5
5-9,Female,4.8
5-9,Male,5.0
50-54,Female,2.3
50-54,Male,2.2
55-59,Female,2.1
55-59,Male,2.0
60-64,Female,1.7
60-64,Male,1.6
65-69,Female,1.3
65-69,Male,1.1
70-74,Female,0.9
70-74,Male,0.8
75-79,Female,0.7
75-79,Male,0.5
80-84,Female,0.4
80-84,Male,0.3
85+,Female,0.3
85+,Male,0.1
