Category_1,Category_2,Percentage
0-4,Female,4.1
0-4,Male,4.3
10-14,Female,5.1
10-14,Male,5.2
15-19,Female,4.8
15-19,Male,4.9
20-24,Female,4.6
20-24,Male,4.7
25-29,Female,4.4
25-29,Male,4.4
30-34,Female,4.0
30-34,Male,4.1
35-39,Female,3.4
35-39,Male,3.5
40-44,Female,3.1
40-44,Male,3.1
45-49,Female,2.6
45-49,Male,2.6
5-9,Female,4.9
5-9,Male,5.1
50-54,Female,2.3
50-54,Male,2.3
55-59,Female,2.0
55-59,Male,1.9
60-64,Female,1.7
60-64,Male,1.5
65-69,Female,1.3
65-69,Male,1.1
70-74,Female,0.9
70-74,Male,0.7
75-79,Female,0.5
75-79,Male,0.3
80-84,Female,0.3
80-84,Male,0.1
85+,Female,0.1
85+,Male,0.0
