Category_1,Category_2,Percentage
0-4,Female,2.2
0-4,Male,2.4
10-14,Female,2.7
10-14,Male,2.8
100+,Female,0.0
100+,Male,0.0
15-19,Female,2.4
15-19,Male,2.6
20-24,Female,2.4
20-24,Male,2.5
25-29,Female,2.9
25-29,Male,3.0
30-34,Female,3.4
30-34,Male,3.6
35-39,Female,4.0
35-39,Male,4.2
40-44,Female,4.1
40-44,Male,4.3
45-49,Female,3.8
45-49,Male,3.8
5-9,Female,2.5
5-9,Male,2.6
50-54,Female,3.2
50-54,Male,3.2
55-59,Female,2.9
55-59,Male,2.8
60-64,Female,3.3
60-64,Male,3.0
65-69,Female,3.6
65-69,Male,2.9
70-74,Female,3.2
70-74,Male,2.3
75-79,Female,2.0
75-79,Male,1.3
80-84,Female,1.3
80-84,Male,0.7
85-89,Female,1.0
85-89,Male,0.4
90-94,Female,0.4
90-94,Male,0.2
95-99,Female,0.1
95-99,Male,0.0
