Category_1,Category_2,Percentage
0-4,Female,2.7
0-4,Male,2.7
10-14,Female,2.7
10-14,Male,2.9
15-19,Female,3.3
15-19,Male,3.6
20-24,Female,4.6
20-24,Male,5.0
25-29,Female,3.8
25-29,Male,3.6
30-34,Female,4.0
30-34,Male,3.7
35-39,Female,3.6
35-39,Male,3.5
40-44,Female,3.0
40-44,Male,3.0
45-49,Female,2.9
45-49,Male,3.0
5-9,Female,2.9
5-9,Male,3.0
50-54,Female,3.2
50-54,Male,3.2
55-59,Female,3.1
55-59,Male,3.1
60-64,Female,2.5
60-64,Male,2.5
65-69,Female,2.1
65-69,Male,1.9
70-74,Female,2.0
70-74,Male,1.9
75-79,Female,1.5
75-79,Male,1.3
80-84,Female,1.2
80-84,Male,0.8
85+,Female,1.3
85+,Male,0.7
