Category_1,Category_2,Percentage
0-4,Female,1.5
0-4,Male,1.6
10-14,Female,2.4
10-14,Male,2.6
100+,Female,0.1
100+,Male,0.0
15-19,Female,2.8
15-19,Male,3.0
20-24,Female,3.2
20-24,Male,3.3
25-29,Female,3.1
25-29,Male,3.1
30-34,Female,3.0
30-34,Male,2.8
35-39,Female,3.0
35-39,Male,2.7
40-44,Female,3.3
40-44,Male,2.9
45-49,Female,3.4
45-49,Male,3.1
5-9,Female,1.9
5-9,Male,2.0
50-54,Female,3.6
50-54,Male,3.2
55-59,Female,3.8
55-59,Male,3.3
60-64,Female,3.9
60-64,Male,3.2
65-69,Female,3.7
65-69,Male,3.0
70-74,Female,3.3
70-74,Male,2.6
75-79,Female,2.8
75-79,Male,2.2
80-84,Female,2.0
80-84,Male,1.4
85-89,Female,1.2
85-89,Male,0.8
90-94,Female,0.6
90-94,Male,0.3
95-99,Female,0.2
95-99,Male,0.1
