Category_1,Category_2,Percentage
0-4,Female,1.3
0-4,Male,1.3
10-14,Female,2.2
10-14,Male,2.3
100+,Female,0.0
100+,Male,0.0
15-19,Female,2.2
15-19,Male,2.3
20-24,Female,2.7
20-24,Male,3.0
25-29,Female,3.3
25-29,Male,3.7
30-34,Female,3.2
30-34,Male,3.6
35-39,Female,3.1
35-39,Male,3.4
40-44,Female,3.8
40-44,Male,4.0
45-49,Female,3.7
45-49,Male,3.9
5-9,Female,1.9
5-9,Male,2.0
50-54,Female,4.3
50-54,Male,4.4
55-59,Female,4.0
55-59,Male,4.0
60-64,Female,4.1
60-64,Male,4.0
65-69,Female,3.3
65-69,Male,3.1
70-74,Female,2.3
70-74,Male,2.0
75-79,Female,1.8
75-79,Male,1.4
80-84,Female,1.5
80-84,Male,1.0
85-89,Female,0.9
85-89,Male,0.4
90-94,Female,0.4
90-94,Male,0.1
95-99,Female,0.1
95-99,Male,0.0
