Category_1,Category_2,Percentage
0-4,Female,2.8
0-4,Male,3.0
10-14,Female,3.4
10-14,Male,3.4
15-19,Female,3.0
15-19,Male,2.9
20-24,Female,2.4
20-24,Male,2.4
25-29,Female,2.9
25-29,Male,2.7
30-34,Female,3.7
30-34,Male,3.6
35-39,Female,4.2
35-39,Male,4.1
40-44,Female,3.6
40-44,Male,3.3
45-49,Female,3.4
45-49,Male,3.0
5-9,Female,3.6
5-9,Male,3.8
50-54,Female,3.3
50-54,Male,2.7
55-59,Female,3.4
55-59,Male,2.6
60-64,Female,4.1
60-64,Male,3.0
65-69,Female,3.7
65-69,Male,2.4
70-74,Female,3.2
70-74,Male,1.8
75-79,Female,1.3
75-79,Male,0.6
80-84,Female,1.1
80-84,Male,0.4
85+,Female,0.9
85+,Male,0.2
