Category_1,Category_2,Percentage
0-4,Female,2.4
0-4,Male,2.6
10-14,Female,2.7
10-14,Male,2.8
15-19,Female,2.8
15-19,Male,2.9
20-24,Female,2.6
20-24,Male,2.7
25-29,Female,2.6
25-29,Male,2.7
30-34,Female,3.0
30-34,Male,3.2
35-39,Female,3.3
35-39,Male,3.5
40-44,Female,3.4
40-44,Male,3.6
45-49,Female,3.9
45-49,Male,4.0
5-9,Female,2.6
5-9,Male,2.7
50-54,Female,4.0
50-54,Male,4.1
55-59,Female,3.3
55-59,Male,3.2
60-64,Female,3.0
60-64,Male,2.6
65-69,Female,3.6
65-69,Male,2.8
70-74,Female,3.2
70-74,Male,2.3
75-79,Female,2.1
75-79,Male,1.3
80-84,Female,1.6
80-84,Male,0.8
85+,Female,1.3
85+,Male,0.6
