Category_1,Category_2,Percentage
0-4,Female,3.3
0-4,Male,3.4
10-14,Female,3.8
10-14,Male,3.8
100+,Female,0.0
100+,Male,0.0
15-19,Female,3.7
15-19,Male,3.9
20-24,Female,3.0
20-24,Male,2.9
25-29,Female,2.8
25-29,Male,2.3
30-34,Female,3.3
30-34,Male,2.7
35-39,Female,3.4
35-39,Male,2.8
40-44,Female,3.5
40-44,Male,2.8
45-49,Female,3.4
45-49,Male,2.9
5-9,Female,3.5
5-9,Male,3.6
50-54,Female,3.6
50-54,Male,3.3
55-59,Female,3.8
55-59,Male,3.5
60-64,Female,3.2
60-64,Male,3.1
65-69,Female,2.7
65-69,Male,2.5
70-74,Female,2.1
70-74,Male,1.8
75-79,Female,1.4
75-79,Male,1.1
80-84,Female,1.0
80-84,Male,0.7
85-89,Female,0.6
85-89,Male,0.4
90-94,Female,0.3
90-94,Male,0.1
95-99,Female,0.1
95-99,Male,0.0
