Category_1,Category_2,Percentage
0-4,Female,6.3
0-4,Male,6.8
10-14,Female,6.0
10-14,Male,6.3
15-19,Female,4.8
15-19,Male,5.1
20-24,Female,3.6
20-24,Male,3.8
25-29,Female,3.4
25-29,Male,3.1
30-34,Female,3.1
30-34,Male,2.7
35-39,Female,2.7
35-39,Male,2.4
40-44,Female,2.5
40-44,Male,2.3
45-49,Female,2.2
45-49,Male,2.3
5-9,Female,6.5
5-9,Male,6.8
50-54,Female,2.2
50-54,Male,2.3
55-59,Female,1.8
55-59,Male,2.0
60-64,Female,1.6
60-64,Male,1.6
65-69,Female,1.2
65-69,Male,1.2
70-74,Female,0.8
70-74,Male,0.7
75-79,Female,0.6
75-79,Male,0.4
80-84,Female,0.3
80-84,Male,0.2
85+,Female,0.2
85+,Male,0.1
