Category_1,Category_2,Percentage
0-4,Female,3.8
0-4,Male,4.0
10-14,Female,3.9
10-14,Male,4.1
100+,Female,0.0
100+,Male,0.0
15-19,Female,3.5
15-19,Male,3.6
20-24,Female,3.3
20-24,Male,4.4
25-29,Female,3.8
25-29,Male,6.7
30-34,Female,4.0
30-34,Male,8.0
35-39,Female,3.6
35-39,Male,7.5
40-44,Female,2.8
40-44,Male,5.9
45-49,Female,2.0
45-49,Male,4.1
5-9,Female,4.1
5-9,Male,4.2
50-54,Female,1.5
50-54,Male,3.0
55-59,Female,1.1
55-59,Male,2.1
60-64,Female,0.8
60-64,Male,1.3
65-69,Female,0.5
65-69,Male,0.7
70-74,Female,0.3
70-74,Male,0.4
75-79,Female,0.2
75-79,Male,0.3
80-84,Female,0.1
80-84,Male,0.1
85-89,Female,0.1
85-89,Male,0.1
90-94,Female,0.0
90-94,Male,0.0
95-99,Female,0.0
95-99,Male,0.0
