Category_1,Category_2,Percentage
0-4,Female,2.3
0-4,Male,2.4
10-14,Female,2.4
10-14,Male,2.4
15-19,Female,2.5
15-19,Male,2.5
20-24,Female,2.6
20-24,Male,2.6
25-29,Female,2.8
25-29,Male,2.8
30-34,Female,3.1
30-34,Male,3.0
35-39,Female,3.4
35-39,Male,3.3
40-44,Female,3.6
40-44,Male,3.5
45-49,Female,3.6
45-49,Male,3.5
5-9,Female,2.4
5-9,Male,2.4
50-54,Female,3.5
50-54,Male,3.3
55-59,Female,3.5
55-59,Male,3.2
60-64,Female,3.7
60-64,Male,3.2
65-69,Female,4.0
65-69,Male,3.3
70-74,Female,3.8
70-74,Male,2.9
75-79,Female,2.3
75-79,Male,1.6
80-84,Female,1.6
80-84,Male,1.0
85+,Female,1.4
85+,Male,0.6
