Category_1,Category_2,Percentage
0-4,Female,1.9
0-4,Male,2.0
10-14,Female,1.9
10-14,Male,2.0
100+,Female,0.0
100+,Male,0.0
15-19,Female,3.0
15-19,Male,3.5
20-24,Female,4.3
20-24,Male,5.3
25-29,Female,4.7
25-29,Male,5.7
30-34,Female,4.6
30-34,Male,5.2
35-39,Female,3.9
35-39,Male,4.2
40-44,Female,3.5
40-44,Male,3.7
45-49,Female,3.2
45-49,Male,3.3
5-9,Female,1.9
5-9,Male,2.0
50-54,Female,3.0
50-54,Male,3.0
55-59,Female,2.8
55-59,Male,2.9
60-64,Female,2.7
60-64,Male,2.7
65-69,Female,2.4
65-69,Male,2.3
70-74,Female,1.9
70-74,Male,1.7
75-79,Female,1.2
75-79,Male,1.0
80-84,Female,0.8
80-84,Male,0.6
85-89,Female,0.5
85-89,Male,0.3
90-94,Female,0.2
90-94,Male,0.1
95-99,Female,0.1
95-99,Male,0.0
