Category_1,Category_2,Percentage
0-4,Female,6.4
0-4,Male,6.5
10-14,Female,7.1
10-14,Male,7.2
100+,Female,0.0
100+,Male,0.0
15-19,Female,6.2
15-19,Male,6.3
20-24,Female,4.8
20-24,Male,4.9
25-29,Female,3.1
25-29,Male,3.1
30-34,Female,2.7
30-34,Male,2.5
35-39,Female,2.5
35-39,Male,2.3
40-44,Female,2.9
40-44,Male,2.6
45-49,Female,2.6
45-49,Male,2.3
5-9,Female,6.3
5-9,Male,6.4
50-54,Female,2.0
50-54,Male,1.8
55-59,Female,1.5
55-59,Male,1.2
60-64,Female,1.1
60-64,Male,0.9
65-69,Female,0.7
65-69,Male,0.6
70-74,Female,0.5
70-74,Male,0.3
75-79,Female,0.3
75-79,Male,0.2
80-84,Female,0.1
80-84,Male,0.1
85-89,Female,0.0
85-89,Male,0.0
90-94,Female,0.0
90-94,Male,0.0
95-99,Female,0.0
95-99,Male,0.0
