Category_1,Category_2,Percentage
0-4,Female,1.8
0-4,Male,1.9
10-14,Female,2.5
10-14,Male,2.6
100+,Female,0.0
100+,Male,0.0
15-19,Female,2.6
15-19,Male,2.7
20-24,Female,2.5
20-24,Male,2.6
25-29,Female,2.6
25-29,Male,2.7
30-34,Female,2.9
30-34,Male,2.9
35-39,Female,3.2
35-39,Male,3.2
40-44,Female,3.8
40-44,Male,3.8
45-49,Female,4.1
45-49,Male,4.3
5-9,Female,2.2
5-9,Male,2.3
50-54,Female,4.0
50-54,Male,4.0
55-59,Female,3.9
55-59,Male,3.8
60-64,Female,3.5
60-64,Male,3.3
65-69,Female,2.9
65-69,Male,2.7
70-74,Female,2.6
70-74,Male,2.2
75-79,Female,2.3
75-79,Male,1.8
80-84,Female,1.6
80-84,Male,1.2
85-89,Female,1.3
85-89,Male,0.8
90-94,Female,0.7
90-94,Male,0.3
95-99,Female,0.2
95-99,Male,0.1
