Category_1,Category_2,Percentage
0-4,Female,6.2
0-4,Male,6.6
10-14,Female,5.5
10-14,Male,5.5
15-19,Female,4.4
15-19,Male,4.2
20-24,Female,4.5
20-24,Male,4.2
25-29,Female,4.2
25-29,Male,4.0
30-34,Female,4.0
30-34,Male,3.9
35-39,Female,3.5
35-39,Male,3.4
40-44,Female,2.7
40-44,Male,2.6
45-49,Female,2.2
45-49,Male,2.1
5-9,Female,6.3
5-9,Male,6.4
50-54,Female,2.0
50-54,Male,1.8
55-59,Female,1.8
55-59,Male,1.6
60-64,Female,1.5
60-64,Male,1.3
65-69,Female,1.0
65-69,Male,0.8
70-74,Female,0.6
70-74,Male,0.4
75-79,Female,0.2
75-79,Male,0.2
80-84,Female,0.2
80-84,Male,0.1
85+,Female,0.1
85+,Male,0.1
