Category_1,Category_2,Percentage
0-4,Female,2.1
0-4,Male,2.2
10-14,Female,2.8
10-14,Male,2.9
100+,Female,0.0
100+,Male,0.0
15-19,Female,3.0
15-19,Male,3.1
20-24,Female,3.2
20-24,Male,3.3
25-29,Female,3.5
25-29,Male,3.6
30-34,Female,3.5
30-34,Male,3.6
35-39,Female,3.5
35-39,Male,3.5
40-44,Female,3.8
40-44,Male,3.7
45-49,Female,3.8
45-49,Male,3.6
5-9,Female,2.5
5-9,Male,2.6
50-54,Female,4.0
50-54,Male,3.6
55-59,Female,3.8
55-59,Male,3.4
60-64,Female,3.4
60-64,Male,3.0
65-69,Female,2.8
65-69,Male,2.4
70-74,Female,2.1
70-74,Male,1.7
75-79,Female,1.4
75-79,Male,1.1
80-84,Female,1.0
80-84,Male,0.7
85-89,Female,0.6
85-89,Male,0.4
90-94,Female,0.3
90-94,Male,0.1
95-99,Female,0.1
95-99,Male,0.0
