Category_1,Category_2,Percentage
0-4,Female,5.6
0-4,Male,5.8
10-14,Female,5.4
10-14,Male,5.6
15-19,Female,5.7
15-19,Male,5.8
20-24,Female,5.1
20-24,Male,5.2
25-29,Female,4.2
25-29,Male,4.2
30-34,Female,3.6
30-34,Male,3.5
35-39,Female,3.1
35-39,Male,3.1
40-44,Female,2.2
40-44,Male,2.2
45-49,Female,1.8
45-49,Male,2.0
5-9,Female,5.9
5-9,Male,6.0
50-54,Female,1.8
50-54,Male,2.0
55-59,Female,1.4
55-59,Male,1.5
60-64,Female,1.1
60-64,Male,1.1
65-69,Female,0.8
65-69,Male,0.8
70-74,Female,0.9
70-74,Male,0.7
75-79,Female,0.7
75-79,Male,0.6
80-84,Female,0.3
80-84,Male,0.3
85+,Female,0.1
85+,Male,0.1
