Category_1,Category_2,Percentage
0-4,Female,7.2
0-4,Male,7.3
10-14,Female,6.0
10-14,Male,6.2
15-19,Female,5.2
15-19,Male,5.3
20-24,Female,4.4
20-24,Male,4.5
25-29,Female,3.8
25-29,Male,3.9
30-34,Female,3.3
30-34,Male,3.4
35-39,Female,2.9
35-39,Male,3.0
40-44,Female,2.5
40-44,Male,2.6
45-49,Female,2.1
45-49,Male,2.1
5-9,Female,6.6
5-9,Male,6.7
50-54,Female,1.7
50-54,Male,1.7
55-59,Female,1.4
55-59,Male,1.3
60-64,Female,1.0
60-64,Male,1.0
65-69,Female,0.8
65-69,Male,0.7
70-74,Female,0.5
70-74,Male,0.4
75-79,Female,0.3
75-79,Male,0.2
80-84,Female,0.1
80-84,Male,0.1
85+,Female,0.0
85+,Male,0.0
