Category_1,Category_2,Percentage
0-4,Female,2.8
0-4,Male,2.9
10-14,Female,3.1
10-14,Male,3.2
15-19,Female,3.1
15-19,Male,3.2
20-24,Female,3.1
20-24,Male,3.2
25-29,Female,3.3
25-29,Male,3.5
30-34,Female,3.8
30-34,Male,4.0
35-39,Female,4.5
35-39,Male,4.5
40-44,Female,4.2
40-44,Male,4.3
45-49,Female,3.5
45-49,Male,3.5
5-9,Female,3.0
5-9,Male,3.1
50-54,Female,3.1
50-54,Male,3.1
55-59,Female,3.1
55-59,Male,3.0
60-64,Female,3.2
60-64,Male,2.9
65-69,Female,2.7
65-69,Male,2.2
70-74,Female,2.0
70-74,Male,1.6
75-79,Female,1.2
75-79,Male,0.8
80-84,Female,0.6
80-84,Male,0.3
85+,Female,0.3
85+,Male,0.1
