Category_1,Category_2,Percentage
0-4,Female,5.3
0-4,Male,5.6
10-14,Female,4.7
10-14,Male,4.9
15-19,Female,3.4
15-19,Male,3.6
20-24,Female,3.7
20-24,Male,3.8
25-29,Female,4.5
25-29,Male,4.5
30-34,Female,4.3
30-34,Male,4.4
35-39,Female,3.7
35-39,Male,3.7
40-44,Female,3.1
40-44,Male,3.0
45-49,Female,3.0
45-49,Male,2.6
5-9,Female,5.5
5-9,Male,5.7
50-54,Female,2.8
50-54,Male,2.4
55-59,Female,2.3
55-59,Male,1.9
60-64,Female,1.9
60-64,Male,1.4
65-69,Female,1.3
65-69,Male,0.8
70-74,Female,0.8
70-74,Male,0.4
75-79,Female,0.4
75-79,Male,0.1
80-84,Female,0.3
80-84,Male,0.1
85+,Female,0.2
85+,Male,0.1
