Category_1,Category_2,Percentage
0-4,Female,8.1
0-4,Male,8.2
10-14,Female,6.6
10-14,Male,6.6
100+,Female,0.0
100+,Male,0.0
15-19,Female,5.9
15-19,Male,5.8
20-24,Female,5.1
20-24,Male,5.0
25-29,Female,4.3
25-29,Male,4.2
30-34,Female,3.4
30-34,Male,3.3
35-39,Female,2.5
35-39,Male,2.5
40-44,Female,1.9
40-44,Male,1.8
45-49,Female,1.5
45-49,Male,1.4
5-9,Female,7.2
5-9,Male,7.3
50-54,Female,1.2
50-54,Male,1.1
55-59,Female,0.9
55-59,Male,0.8
60-64,Female,0.7
60-64,Male,0.6
65-69,Female,0.5
65-69,Male,0.4
70-74,Female,0.4
70-74,Male,0.2
75-79,Female,0.2
75-79,Male,0.1
80-84,Female,0.1
80-84,Male,0.1
85-89,Female,0.1
85-89,Male,0.0
90-94,Female,0.0
90-94,Male,0.0
95-99,Female,0.0
95-99,Male,0.0
