Category_1,Category_2,Percentage
0-4,Female,1.7
0-4,Male,1.8
10-14,Female,2.8
10-14,Male,3.0
100+,Female,0.0
100+,Male,0.0
15-19,Female,2.5
15-19,Male,2.6
20-24,Female,2.1
20-24,Male,2.3
25-29,Female,2.6
25-29,Male,2.7
30-34,Female,3.6
30-34,Male,3.7
35-39,Female,4.3
35-39,Male,4.4
40-44,Female,4.0
40-44,Male,4.0
45-49,Female,3.7
45-49,Male,3.4
5-9,Female,2.4
5-9,Male,2.6
50-54,Female,3.7
50-54,Male,3.2
55-59,Female,3.8
55-59,Male,3.2
60-64,Female,4.1
60-64,Male,3.3
65-69,Female,3.7
65-69,Male,2.5
70-74,Female,3.2
70-74,Male,1.8
75-79,Female,1.8
75-79,Male,0.8
80-84,Female,1.8
80-84,Male,0.7
85-89,Female,1.1
85-89,Male,0.4
90-94,Female,0.4
90-94,Male,0.1
95-99,Female,0.2
95-99,Male,0.0
