Category_1,Category_2,Percentage
0-4,Female,2.6
0-4,Male,2.7
10-14,Female,2.6
10-14,Male,2.6
100+,Female,0.0
100+,Male,0.0
15-19,Female,2.2
15-19,Male,2.5
20-24,Female,3.5
20-24,Male,5.2
25-29,Female,4.1
25-29,Male,9.4
30-34,Female,4.5
30-34,Male,10.6
35-39,Female,4.3
35-39,Male,9.0
40-44,Female,3.1
40-44,Male,6.6
45-49,Female,2.0
45-49,Male,4.7
5-9,Female,2.9
5-9,Male,2.9
50-54,Female,1.5
50-54,Male,3.3
55-59,Female,1.3
55-59,Male,2.2
60-64,Female,0.7
60-64,Male,1.1
65-69,Female,0.3
65-69,Male,0.4
70-74,Female,0.2
70-74,Male,0.3
75-79,Female,0.1
75-79,Male,0.1
80-84,Female,0.1
80-84,Male,0.1
85-89,Female,0.0
85-89,Male,0.0
90-94,Female,0.0
90-94,Male,0.0
95-99,Female,0.0
95-99,Male,0.0
