Category_1,Category_2,Percentage
0-4,Female,2.5
0-4,Male,2.7
10-14,Female,3.0
10-14,Male,3.2
15-19,Female,2.8
15-19,Male,3.0
20-24,Female,2.8
20-24,Male,3.0
25-29,Female,3.2
25-29,Male,3.3
30-34,Female,3.4
30-34,Male,3.4
35-39,Female,3.3
35-39,Male,3.3
40-44,Female,3.3
40-44,Male,3.2
45-49,Female,3.0
45-49,Male,3.0
5-9,Female,2.9
5-9,Male,3.1
50-54,Female,3.4
50-54,Male,3.3
55-59,Female,3.4
55-59,Male,3.1
60-64,Female,3.1
60-64,Male,2.9
65-69,Female,2.7
65-69,Male,2.5
70-74,Female,2.5
70-74,Male,2.2
75-79,Female,2.2
75-79,Male,1.9
80-84,Female,1.4
80-84,Male,1.1
85+,Female,1.6
85+,Male,1.0
