Category_1,Category_2,Percentage
0-4,Female,2.7
0-4,Male,2.8
10-14,Female,3.0
10-14,Male,3.2
15-19,Female,3.2
15-19,Male,3.4
20-24,Female,3.2
20-24,Male,3.4
25-29,Female,3.2
25-29,Male,3.4
30-34,Female,3.4
30-34,Male,3.7
35-39,Female,3.3
35-39,Male,3.5
40-44,Female,3.2
40-44,Male,3.4
45-49,Female,2.9
45-49,Male,3.1
5-9,Female,2.9
5-9,Male,3.0
50-54,Female,3.0
50-54,Male,3.1
55-59,Female,3.1
55-59,Male,3.1
60-64,Female,3.2
60-64,Male,3.1
65-69,Female,2.9
65-69,Male,2.7
70-74,Female,2.4
70-74,Male,2.1
75-79,Female,1.8
75-79,Male,1.5
80-84,Female,1.2
80-84,Male,0.9
85+,Female,1.2
85+,Male,0.7
