Category_1,Category_2,Percentage
0-4,Female,5.8
0-4,Male,6.3
10-14,Female,4.2
10-14,Male,4.5
15-19,Female,3.6
15-19,Male,3.8
20-24,Female,3.4
20-24,Male,3.6
25-29,Female,4.0
25-29,Male,4.2
30-34,Female,4.2
30-34,Male,4.4
35-39,Female,3.9
35-39,Male,4.1
40-44,Female,3.1
40-44,Male,3.2
45-49,Female,2.7
45-49,Male,2.7
5-9,Female,4.8
5-9,Male,5.2
50-54,Female,2.3
50-54,Male,2.3
55-59,Female,2.2
55-59,Male,2.1
60-64,Female,1.9
60-64,Male,1.7
65-69,Female,1.4
65-69,Male,1.1
70-74,Female,0.9
70-74,Male,0.7
75-79,Female,0.5
75-79,Male,0.3
80-84,Female,0.3
80-84,Male,0.2
85+,Female,0.3
85+,Male,0.1
