Category_1,Category_2,Percentage
0-4,Female,6.6
0-4,Male,7.1
10-14,Female,5.7
10-14,Male,6.0
15-19,Female,4.6
15-19,Male,4.9
20-24,Female,4.0
20-24,Male,3.9
25-29,Female,4.1
25-29,Male,3.7
30-34,Female,3.9
30-34,Male,3.6
35-39,Female,3.3
35-39,Male,3.2
40-44,Female,2.5
40-44,Male,2.4
45-49,Female,1.8
45-49,Male,2.2
5-9,Female,6.4
5-9,Male,6.8
50-54,Female,1.7
50-54,Male,2.0
55-59,Female,1.4
55-59,Male,1.5
60-64,Female,1.3
60-64,Male,1.1
65-69,Female,1.0
65-69,Male,0.8
70-74,Female,0.6
70-74,Male,0.6
75-79,Female,0.3
75-79,Male,0.4
80-84,Female,0.1
80-84,Male,0.2
85+,Female,0.1
85+,Male,0.1
