Category_1,Category_2,Percentage
0-4,Female,3.8
0-4,Male,4.0
10-14,Female,3.7
10-14,Male,3.9
100+,Female,0.0
100+,Male,0.0
15-19,Female,3.4
15-19,Male,3.6
20-24,Female,3.3
20-24,Male,3.7
25-29,Female,3.4
25-29,Male,4.2
30-34,Female,3.8
30-34,Male,5.0
35-39,Female,4.1
35-39,Male,5.7
40-44,Female,3.9
40-44,Male,5.6
45-49,Female,2.8
45-49,Male,4.3
5-9,Female,3.9
5-9,Male,4.1
50-54,Female,2.2
50-54,Male,3.5
55-59,Female,1.8
55-59,Male,2.6
60-64,Female,1.6
60-64,Male,2.0
65-69,Female,1.4
65-69,Male,1.5
70-74,Female,1.0
70-74,Male,0.9
75-79,Female,0.5
75-79,Male,0.5
80-84,Female,0.2
80-84,Male,0.2
85-89,Female,0.1
85-89,Male,0.1
90-94,Female,0.0
90-94,Male,0.0
95-99,Female,0.0
95-99,Male,0.0
