BUA name,Region,Country,BUA size classification,Aged 10 to 14 years Female,Aged 10 to 14 years Male,Aged 15 to 19 years Female,Aged 15 to 19 years Male,Aged 20 to 24 years Female,Aged 20 to 24 years Male,Aged 25 to 29 years Female,Aged 25 to 29 years Male,Aged 30 to 34 years Female,Aged 30 to 34 years Male,Aged 35 to 39 years Female,Aged 35 to 39 years Male,Aged 4 years and under Female,Aged 4 years and under Male,Aged 40 to 44 years Female,Aged 40 to 44 years Male,Aged 45 to 49 years Female,Aged 45 to 49 years Male,Aged 5 to 9 years Female,Aged 5 to 9 years Male,Aged 50 to 54 years Female,Aged 50 to 54 years Male,Aged 55 to 59 years Female,Aged 55 to 59 years Male,Aged 60 to 64 years Female,Aged 60 to 64 years Male,Aged 65 to 69 years Female,Aged 65 to 69 years Male,Aged 70 to 74 years Female,Aged 70 to 74 years Male,Aged 75 to 79 years Female,Aged 75 to 79 years Male,Aged 80 to 84 years Female,Aged 80 to 84 years Male,Aged 85 years and over Female,Aged 85 years and over Male
Birmingham,West Midlands,England,Major,3.5,3.8,3.8,3.8,4.3,4.0,3.8,3.6,4.0,3.6,3.7,3.4,3.3,3.4,3.3,3.1,2.9,2.9,3.5,3.7,3.0,3.0,2.7,2.7,2.3,2.3,1.8,1.8,1.7,1.5,1.3,1.1,1.0,0.7,1.1,0.6
Bradford,Yorkshire and The Humber,England,Major,4.1,4.3,3.9,4.0,3.6,3.4,3.5,3.3,4.0,3.5,3.9,3.6,3.7,3.8,3.4,3.3,2.9,3.0,3.9,4.0,2.9,2.9,2.5,2.5,2.3,2.2,1.8,1.8,1.6,1.4,1.0,0.8,0.9,0.7,1.0,0.5
Brighton and Hove,South East,England,Major,2.5,2.6,3.3,3.1,5.4,4.7,3.8,3.7,3.7,3.7,3.6,3.5,2.0,2.2,3.6,3.4,3.7,3.7,2.3,2.4,3.8,3.8,3.3,3.4,2.4,2.5,2.0,1.9,1.9,1.8,1.4,1.1,1.1,0.8,1.3,0.7
Bristol,South West,England,Major,2.7,2.7,3.2,3.1,5.2,5.1,4.8,4.8,4.7,4.6,3.9,4.0,2.6,2.8,3.2,3.3,2.8,2.9,2.8,2.9,2.7,2.8,2.6,2.6,2.2,2.1,1.8,1.7,1.7,1.6,1.3,1.1,1.0,0.7,1.1,0.6
Coventry,West Midlands,England,Major,3.1,3.3,3.8,4.0,4.4,4.9,3.5,3.5,3.8,3.6,3.5,3.4,2.9,3.0,3.2,3.1,2.9,2.9,3.1,3.3,3.0,3.1,2.8,2.9,2.3,2.4,2.0,1.9,1.9,1.7,1.5,1.3,1.2,0.9,1.3,0.7
Derby,East Midlands,England,Major,3.1,3.4,2.9,3.2,3.4,3.6,3.6,3.6,3.7,3.5,3.6,3.5,2.9,3.0,3.2,3.1,3.1,3.2,3.2,3.3,3.3,3.3,3.1,3.0,2.5,2.5,2.2,2.1,2.2,2.0,1.6,1.4,1.3,1.0,1.4,0.8
Kingston upon Hull,Yorkshire and The Humber,England,Major,3.0,3.2,2.8,3.0,3.6,3.7,3.9,3.7,4.0,3.8,3.5,3.5,2.9,3.1,2.9,3.0,3.0,3.1,3.2,3.3,3.2,3.3,3.2,3.2,2.8,2.8,2.3,2.3,2.2,2.1,1.4,1.2,1.1,0.9,1.2,0.7
Leeds,Yorkshire and The Humber,England,Major,2.9,3.0,3.6,3.5,5.8,5.1,4.3,4.1,4.1,3.8,3.7,3.5,2.9,3.0,3.1,3.1,2.8,2.9,3.0,3.2,2.9,2.8,2.7,2.6,2.3,2.2,1.8,1.8,1.8,1.6,1.2,1.0,1.0,0.7,1.1,0.6
Leicester,East Midlands,England,Major,3.3,3.5,3.7,3.7,4.7,4.6,3.7,3.6,3.8,3.6,3.8,3.6,2.9,3.1,3.3,3.3,3.1,3.0,3.2,3.4,3.0,3.0,2.7,2.7,2.4,2.4,2.0,1.9,1.7,1.6,1.2,1.0,0.9,0.7,1.0,0.6
Liverpool,North West,England,Major,2.6,2.7,3.5,3.4,5.2,4.8,3.9,3.8,3.9,3.8,3.5,3.3,2.7,2.8,2.9,2.8,2.7,2.7,2.7,2.8,3.1,3.0,3.4,3.0,3.0,2.8,2.4,2.3,2.2,2.0,1.5,1.2,1.2,0.9,1.2,0.6
Luton,East of England,England,Major,3.6,3.8,3.2,3.5,3.3,3.5,3.7,3.6,4.1,3.8,4.0,3.8,3.5,3.6,3.6,3.7,3.0,3.3,3.6,3.8,3.0,3.2,2.7,2.8,2.2,2.3,1.8,1.7,1.5,1.4,1.2,1.0,1.0,0.8,1.0,0.6
Manchester,North West,England,Major,3.2,3.3,4.1,4.0,6.3,5.9,5.0,5.0,4.3,4.4,3.8,3.8,3.0,3.1,3.2,3.3,2.7,2.9,3.2,3.3,2.6,2.8,2.3,2.3,1.8,1.9,1.4,1.4,1.1,1.1,0.9,0.7,0.7,0.5,0.7,0.4
Newcastle upon Tyne,North East,England,Major,2.7,2.8,4.1,3.8,6.2,6.3,3.8,4.0,3.6,3.5,3.3,3.3,2.5,2.6,2.8,2.8,2.7,2.7,2.7,2.9,2.8,2.8,2.9,2.9,2.6,2.5,2.2,2.0,2.0,1.9,1.4,1.2,1.2,0.8,1.3,0.7
Northampton,East Midlands,England,Major,3.2,3.4,3.0,3.0,3.3,3.3,3.6,3.5,4.1,3.9,3.9,3.8,3.0,3.1,3.5,3.6,3.3,3.3,3.2,3.3,3.3,3.3,3.0,3.0,2.5,2.3,2.1,1.9,2.1,1.9,1.4,1.3,1.1,0.8,1.2,0.7
Norwich,East of England,England,Major,2.5,2.7,3.2,3.2,4.9,4.5,3.8,3.7,3.7,3.8,3.4,3.5,2.3,2.4,3.0,3.2,2.9,3.0,2.6,2.7,3.0,3.1,2.9,3.0,2.6,2.4,2.4,2.1,2.5,2.2,1.8,1.6,1.4,1.1,1.7,1.0
Nottingham,East Midlands,England,Major,2.8,3.0,4.9,4.9,7.2,6.8,3.9,3.7,3.9,3.6,3.3,3.2,2.7,2.9,2.9,2.9,2.7,2.8,2.9,3.0,2.8,2.7,2.6,2.6,2.1,2.1,1.7,1.6,1.5,1.5,1.1,1.0,0.9,0.7,0.9,0.5
Plymouth,South West,England,Major,2.8,2.9,3.0,3.0,4.1,3.9,3.4,3.4,3.5,3.4,3.3,3.3,2.4,2.6,2.9,2.9,3.0,2.9,2.8,2.9,3.4,3.3,3.3,3.3,2.9,2.9,2.5,2.4,2.6,2.4,2.0,1.7,1.4,1.1,1.6,0.9
Portsmouth,South East,England,Major,2.7,2.9,3.3,3.5,4.4,4.8,3.6,3.5,3.9,3.6,3.6,3.5,2.6,2.7,3.0,3.0,2.9,3.0,2.8,2.9,3.3,3.2,3.2,3.1,2.6,2.6,2.2,2.0,2.2,2.0,1.6,1.4,1.2,0.9,1.4,0.8
Reading,South East,England,Major,2.9,3.0,3.2,3.3,4.2,4.1,4.0,3.9,4.3,4.1,4.1,4.0,2.7,2.9,3.6,3.7,3.1,3.4,2.9,3.1,3.1,3.2,2.9,2.8,2.3,2.4,1.8,1.8,1.7,1.6,1.2,1.1,1.0,0.8,1.0,0.7
Sheffield,Yorkshire and The Humber,England,Major,2.8,3.0,3.4,3.5,4.8,4.9,3.8,3.7,3.7,3.5,3.3,3.1,2.7,2.8,2.9,2.9,2.9,2.8,2.8,3.0,3.2,3.2,3.0,3.0,2.6,2.6,2.2,2.1,2.2,2.0,1.7,1.4,1.3,1.0,1.4,0.8
Southampton,South East,England,Major,2.7,2.8,3.2,3.5,5.1,5.4,4.2,4.1,4.1,4.0,3.6,3.7,2.7,2.8,3.3,3.3,2.8,3.1,2.8,3.0,2.8,2.9,2.7,2.8,2.4,2.4,1.9,2.0,1.9,1.7,1.4,1.2,1.0,0.8,1.2,0.7
Stoke-on-Trent,West Midlands,England,Major,3.2,3.3,2.8,3.1,3.2,3.4,3.4,3.3,3.8,3.6,3.4,3.4,3.0,3.0,3.0,3.0,3.0,3.1,3.2,3.3,3.2,3.3,3.2,3.2,2.8,2.8,2.4,2.4,2.4,2.2,1.8,1.6,1.3,1.0,1.3,0.7
Wolverhampton,West Midlands,England,Major,3.3,3.4,2.8,3.0,2.9,3.1,3.3,3.1,3.7,3.3,3.6,3.2,2.9,3.2,3.3,3.2,3.2,3.3,3.2,3.4,3.4,3.5,3.2,3.1,2.8,2.7,2.4,2.2,2.2,2.0,1.7,1.4,1.4,1.1,1.6,0.9
