Upper tier local authorities Code,Upper tier local authorities,Age Bin,Observation,Percentage
E06000010,Kingston upon Hull,0-9,33295,12.47
E06000010,Kingston upon Hull,10-19,32220,12.07
E06000010,Kingston upon Hull,20-29,39646,14.85
E06000010,Kingston upon Hull,30-39,39522,14.8
E06000010,Kingston upon Hull,40-49,32104,12.02
E06000010,Kingston upon Hull,50-59,34470,12.91
E06000010,Kingston upon Hull,60-69,27146,10.17
E06000010,Kingston upon Hull,70-79,18479,6.92
E06000010,Kingston upon Hull,80+,10128,3.79
E06000015,Derby,0-9,32117,12.29
E06000015,Derby,10-19,33328,12.75
E06000015,Derby,20-29,36955,14.14
E06000015,Derby,30-39,36536,13.98
E06000015,Derby,40-49,32910,12.59
E06000015,Derby,50-59,33389,12.78
E06000015,Derby,60-69,24649,9.43
E06000015,Derby,70-79,19245,7.36
E06000015,Derby,80+,12226,4.68
E06000016,Leicester,0-9,47110,12.78
E06000016,Leicester,10-19,53953,14.64
E06000016,Leicester,20-29,63398,17.2
E06000016,Leicester,30-39,54740,14.85
E06000016,Leicester,40-49,47229,12.81
E06000016,Leicester,50-59,41366,11.22
E06000016,Leicester,60-69,31246,8.48
E06000016,Leicester,70-79,18612,5.05
E06000016,Leicester,80+,10910,2.96
E06000018,Nottingham,0-9,37071,11.45
E06000018,Nottingham,10-19,50500,15.6
E06000018,Nottingham,20-29,67910,20.98
E06000018,Nottingham,30-39,45397,14.03
E06000018,Nottingham,40-49,35969,11.11
E06000018,Nottingham,50-59,34888,10.78
E06000018,Nottingham,60-69,24811,7.67
E06000018,Nottingham,70-79,16665,5.15
E06000018,Nottingham,80+,10416,3.22
E06000021,Stoke-on-Trent,0-9,32614,12.62
E06000021,Stoke-on-Trent,10-19,31947,12.36
E06000021,Stoke-on-Trent,20-29,34093,13.2
E06000021,Stoke-on-Trent,30-39,36694,14.2
E06000021,Stoke-on-Trent,40-49,31088,12.03
E06000021,Stoke-on-Trent,50-59,33278,12.88
E06000021,Stoke-on-Trent,60-69,26728,10.34
E06000021,Stoke-on-Trent,70-79,20599,7.97
E06000021,Stoke-on-Trent,80+,11333,4.39
E06000023,Bristol,0-9,52706,11.16
E06000023,Bristol,10-19,55192,11.68
E06000023,Bristol,20-29,91937,19.46
E06000023,Bristol,30-39,81624,17.28
E06000023,Bristol,40-49,58311,12.34
E06000023,Bristol,50-59,51397,10.88
E06000023,Bristol,60-69,37429,7.92
E06000023,Bristol,70-79,27292,5.78
E06000023,Bristol,80+,16575,3.51
E06000026,Plymouth,0-9,28329,10.7
E06000026,Plymouth,10-19,30954,11.69
E06000026,Plymouth,20-29,39112,14.78
E06000026,Plymouth,30-39,35763,13.51
E06000026,Plymouth,40-49,31351,11.84
