Upper tier local authorities Code,Upper tier local authorities,Household size (9 categories) Code,Household size (9 categories),Observation
E06000001,Hartlepool,0,0 people in household,0
E06000001,Hartlepool,1,1 person in household,13616
E06000001,Hartlepool,2,2 people in household,13844
E06000001,Hartlepool,3,3 people in household,6780
E06000001,Hartlepool,4,4 people in household,4547
E06000001,Hartlepool,5,5 people in household,1519
E06000001,Hartlepool,6,6 people in household,440
E06000001,Hartlepool,7,7 people in household,115
E06000001,Hartlepool,8,8 or more people in household,69
E06000002,Middlesbrough,0,0 people in household,0
E06000002,Middlesbrough,1,1 person in household,19964
E06000002,Middlesbrough,2,2 people in household,18783
E06000002,Middlesbrough,3,3 people in household,9819
E06000002,Middlesbrough,4,4 people in household,7078
E06000002,Middlesbrough,5,5 people in household,2823
E06000002,Middlesbrough,6,6 people in household,1131
E06000002,Middlesbrough,7,7 people in household,420
E06000002,Middlesbrough,8,8 or more people in household,244
E06000003,Redcar and Cleveland,0,0 people in household,0
E06000003,Redcar and Cleveland,1,1 person in household,20663
E06000003,Redcar and Cleveland,2,2 people in household,21884
E06000003,Redcar and Cleveland,3,3 people in household,9591
E06000003,Redcar and Cleveland,4,4 people in household,6554
E06000003,Redcar and Cleveland,5,5 people in household,2136
E06000003,Redcar and Cleveland,6,6 people in household,590
E06000003,Redcar and Cleveland,7,7 people in household,143
E06000003,Redcar and Cleveland,8,8 or more people in household,77
E06000004,Stockton-on-Tees,0,0 people in household,0
E06000004,Stockton-on-Tees,1,1 person in household,25980
E06000004,Stockton-on-Tees,2,2 people in household,28734
E06000004,Stockton-on-Tees,3,3 people in household,13771
E06000004,Stockton-on-Tees,4,4 people in household,10297
E06000004,Stockton-on-Tees,5,5 people in household,3311
E06000004,Stockton-on-Tees,6,6 people in household,1013
E06000004,Stockton-on-Tees,7,7 people in household,407
E06000004,Stockton-on-Tees,8,8 or more people in household,243
E06000005,Darlington,0,0 people in household,0
E06000005,Darlington,1,1 person in household,16714
E06000005,Darlington,2,2 people in household,17262
E06000005,Darlington,3,3 people in household,7362
E06000005,Darlington,4,4 people in household,5287
E06000005,Darlington,5,5 people in household,1679
E06000005,Darlington,6,6 people in household,444
E06000005,Darlington,7,7 people in household,122
E06000005,Darlington,8,8 or more people in household,52
E06000006,Halton,0,0 people in household,0
E06000006,Halton,1,1 person in household,17702
E06000006,Halton,2,2 people in household,18910
E06000006,Halton,3,3 people in household,9487
E06000006,Halton,4,4 people in household,6809
E06000006,Halton,5,5 people in household,2207
E06000006,Halton,6,6 people in household,615
E06000006,Halton,7,7 people in household,155
E06000006,Halton,8,8 or more people in household,66
E06000007,Warrington,0,0 people in household,0
E06000007,Warrington,1,1 person in household,27364
E06000007,Warrington,2,2 people in household,31577
E06000007,Warrington,3,3 people in household,15267
E06000007,Warrington,4,4 people in household,11776
E06000007,Warrington,5,5 people in household,3401
E06000007,Warrington,6,6 people in household,848
E06000007,Warrington,7,7 people in household,204
E06000007,Warrington,8,8 or more people in household,103
E06000008,Blackburn with Darwen,0,0 people in household,0
E06000008,Blackburn with Darwen,1,1 person in household,17578
E06000008,Blackburn with Darwen,2,2 people in household,16675
E06000008,Blackburn with Darwen,3,3 people in household,9054
E06000008,Blackburn with Darwen,4,4 people in household,7827
E06000008,Blackburn with Darwen,5,5 people in household,4307
E06000008,Blackburn with Darwen,6,6 people in household,1983
E06000008,Blackburn with Darwen,7,7 people in household,800
E06000008,Blackburn with Darwen,8,8 or more people in household,543
E06000009,Blackpool,0,0 people in household,0
E06000009,Blackpool,1,1 person in household,24588
E06000009,Blackpool,2,2 people in household,21375
E06000009,Blackpool,3,3 people in household,9581
E06000009,Blackpool,4,4 people in household,6076
E06000009,Blackpool,5,5 people in household,2023
E06000009,Blackpool,6,6 people in household,762
E06000009,Blackpool,7,7 people in household,232
E06000009,Blackpool,8,8 or more people in household,152
E06000010,Kingston upon Hull,0,0 people in household,0
E06000010,Kingston upon Hull,1,1 person in household,39446
E06000010,Kingston upon Hull,2,2 people in household,36970
E06000010,Kingston upon Hull,3,3 people in household,18409
E06000010,Kingston upon Hull,4,4 people in household,13232
E06000010,Kingston upon Hull,5,5 people in household,5002
E06000010,Kingston upon Hull,6,6 people in household,1565
E06000010,Kingston upon Hull,7,7 people in household,550
E06000010,Kingston upon Hull,8,8 or more people in household,298
E06000011,East Riding of Yorkshire,0,0 people in household,0
E06000011,East Riding of Yorkshire,1,1 person in household,45678
E06000011,East Riding of Yorkshire,2,2 people in household,61113
E06000011,East Riding of Yorkshire,3,3 people in household,21775
E06000011,East Riding of Yorkshire,4,4 people in household,17064
E06000011,East Riding of Yorkshire,5,5 people in household,4743
E06000011,East Riding of Yorkshire,6,6 people in household,1239
E06000011,East Riding of Yorkshire,7,7 people in household,316
E06000011,East Riding of Yorkshire,8,8 or more people in household,139
E06000012,North East Lincolnshire,0,0 people in household,0
E06000012,North East Lincolnshire,1,1 person in household,22718
E06000012,North East Lincolnshire,2,2 people in household,24895
E06000012,North East Lincolnshire,3,3 people in household,10966
E06000012,North East Lincolnshire,4,4 people in household,7689
E06000012,North East Lincolnshire,5,5 people in household,2535
E06000012,North East Lincolnshire,6,6 people in household,693
E06000012,North East Lincolnshire,7,7 people in household,227
E06000012,North East Lincolnshire,8,8 or more people in household,103
E06000013,North Lincolnshire,0,0 people in household,0
E06000013,North Lincolnshire,1,1 person in household,21366
E06000013,North Lincolnshire,2,2 people in household,27626
E06000013,North Lincolnshire,3,3 people in household,11507
E06000013,North Lincolnshire,4,4 people in household,8456
E06000013,North Lincolnshire,5,5 people in household,2908
E06000013,North Lincolnshire,6,6 people in household,913
E06000013,North Lincolnshire,7,7 people in household,259
E06000013,North Lincolnshire,8,8 or more people in household,142
E06000014,York,0,0 people in household,0
E06000014,York,1,1 person in household,26640
E06000014,York,2,2 people in household,31780
E06000014,York,3,3 people in household,12557
E06000014,York,4,4 people in household,10372
E06000014,York,5,5 people in household,2960
E06000014,York,6,6 people in household,838
E06000014,York,7,7 people in household,195
E06000014,York,8,8 or more people in household,117
E06000015,Derby,0,0 people in household,0
E06000015,Derby,1,1 person in household,33054
E06000015,Derby,2,2 people in household,33738
E06000015,Derby,3,3 people in household,16423
E06000015,Derby,4,4 people in household,13325
E06000015,Derby,5,5 people in household,5234
E06000015,Derby,6,6 people in household,1998
E06000015,Derby,7,7 people in household,812
E06000015,Derby,8,8 or more people in household,1068
E06000016,Leicester,0,0 people in household,0
E06000016,Leicester,1,1 person in household,35173
E06000016,Leicester,2,2 people in household,32527
E06000016,Leicester,3,3 people in household,20944
E06000016,Leicester,4,4 people in household,19347
E06000016,Leicester,5,5 people in household,10455
E06000016,Leicester,6,6 people in household,4758
E06000016,Leicester,7,7 people in household,2118
E06000016,Leicester,8,8 or more people in household,2063
E06000017,Rutland,0,0 people in household,0
E06000017,Rutland,1,1 person in household,4786
