Upper tier local authorities Code,Upper tier local authorities,Household size (9 categories) Code,Household size (9 categories),Observation,Percentage
E06000001,Hartlepool,0,0 people in household,0,0.0
E06000001,Hartlepool,1,1 person in household,13616,33.27
E06000001,Hartlepool,2,2 people in household,13844,33.82
E06000001,Hartlepool,3,3 people in household,6780,16.56
E06000001,Hartlepool,4,4 people in household,4547,11.11
E06000001,Hartlepool,5,5 people in household,1519,3.71
E06000001,Hartlepool,6,6 people in household,440,1.08
E06000001,Hartlepool,7,7 people in household,115,0.28
E06000001,Hartlepool,8,8 or more people in household,69,0.17
E06000002,Middlesbrough,0,0 people in household,0,0.0
E06000002,Middlesbrough,1,1 person in household,19964,33.13
E06000002,Middlesbrough,2,2 people in household,18783,31.17
E06000002,Middlesbrough,3,3 people in household,9819,16.29
E06000002,Middlesbrough,4,4 people in household,7078,11.75
E06000002,Middlesbrough,5,5 people in household,2823,4.68
E06000002,Middlesbrough,6,6 people in household,1131,1.88
E06000002,Middlesbrough,7,7 people in household,420,0.7
E06000002,Middlesbrough,8,8 or more people in household,244,0.4
E06000003,Redcar and Cleveland,0,0 people in household,0,0.0
E06000003,Redcar and Cleveland,1,1 person in household,20663,33.52
E06000003,Redcar and Cleveland,2,2 people in household,21884,35.5
E06000003,Redcar and Cleveland,3,3 people in household,9591,15.56
E06000003,Redcar and Cleveland,4,4 people in household,6554,10.63
E06000003,Redcar and Cleveland,5,5 people in household,2136,3.47
E06000003,Redcar and Cleveland,6,6 people in household,590,0.96
E06000003,Redcar and Cleveland,7,7 people in household,143,0.23
E06000003,Redcar and Cleveland,8,8 or more people in household,77,0.12
E06000004,Stockton-on-Tees,0,0 people in household,0,0.0
E06000004,Stockton-on-Tees,1,1 person in household,25980,31.02
E06000004,Stockton-on-Tees,2,2 people in household,28734,34.31
E06000004,Stockton-on-Tees,3,3 people in household,13771,16.44
E06000004,Stockton-on-Tees,4,4 people in household,10297,12.29
E06000004,Stockton-on-Tees,5,5 people in household,3311,3.95
E06000004,Stockton-on-Tees,6,6 people in household,1013,1.21
E06000004,Stockton-on-Tees,7,7 people in household,407,0.49
E06000004,Stockton-on-Tees,8,8 or more people in household,243,0.29
E06000005,Darlington,0,0 people in household,0,0.0
E06000005,Darlington,1,1 person in household,16714,34.16
