Upper tier local authorities Code,Upper tier local authorities,Household size (9 categories) Code,Household size (9 categories),Observation,Percentage
E06000010,Kingston upon Hull,1,1 person in household,39446,34.16
E06000010,Kingston upon Hull,2,2 people in household,36970,32.02
E06000010,Kingston upon Hull,3,3 people in household,18409,15.94
E06000010,Kingston upon Hull,4,4 people in household,13232,11.46
E06000010,Kingston upon Hull,5,5 people in household,5002,4.33
E06000010,Kingston upon Hull,6,6 people in household,1565,1.36
E06000010,Kingston upon Hull,7,7 people in household,550,0.48
E06000010,Kingston upon Hull,8,8 or more people in household,298,0.26
E06000015,Derby,1,1 person in household,33054,31.29
E06000015,Derby,2,2 people in household,33738,31.93
E06000015,Derby,3,3 people in household,16423,15.54
E06000015,Derby,4,4 people in household,13325,12.61
E06000015,Derby,5,5 people in household,5234,4.95
E06000015,Derby,6,6 people in household,1998,1.89
E06000015,Derby,7,7 people in household,812,0.77
E06000015,Derby,8,8 or more people in household,1068,1.01
E06000016,Leicester,1,1 person in household,35173,27.61
E06000016,Leicester,2,2 people in household,32527,25.53
E06000016,Leicester,3,3 people in household,20944,16.44
E06000016,Leicester,4,4 people in household,19347,15.19
E06000016,Leicester,5,5 people in household,10455,8.21
E06000016,Leicester,6,6 people in household,4758,3.74
E06000016,Leicester,7,7 people in household,2118,1.66
E06000016,Leicester,8,8 or more people in household,2063,1.62
E06000018,Nottingham,1,1 person in household,41971,33.65
E06000018,Nottingham,2,2 people in household,37590,30.13
E06000018,Nottingham,3,3 people in household,18696,14.99
E06000018,Nottingham,4,4 people in household,14280,11.45
E06000018,Nottingham,5,5 people in household,6776,5.43
E06000018,Nottingham,6,6 people in household,3115,2.5
E06000018,Nottingham,7,7 people in household,1284,1.03
E06000018,Nottingham,8,8 or more people in household,1033,0.83
E06000021,Stoke-on-Trent,1,1 person in household,36179,32.77
E06000021,Stoke-on-Trent,2,2 people in household,36854,33.38
E06000021,Stoke-on-Trent,3,3 people in household,17327,15.7
E06000021,Stoke-on-Trent,4,4 people in household,12078,10.94
E06000021,Stoke-on-Trent,5,5 people in household,5033,4.56
E06000021,Stoke-on-Trent,6,6 people in household,1783,1.62
E06000021,Stoke-on-Trent,7,7 people in household,715,0.65
E06000021,Stoke-on-Trent,8,8 or more people in household,429,0.39
E06000023,Bristol,1,1 person in household,57862,30.19
E06000023,Bristol,2,2 people in household,64236,33.52
E06000023,Bristol,3,3 people in household,30135,15.72
E06000023,Bristol,4,4 people in household,25245,13.17
E06000023,Bristol,5,5 people in household,8788,4.59
E06000023,Bristol,6,6 people in household,3225,1.68
E06000023,Bristol,7,7 people in household,1181,0.62
E06000023,Bristol,8,8 or more people in household,967,0.5
E06000026,Plymouth,1,1 person in household,37338,32.59
E06000026,Plymouth,2,2 people in household,40178,35.07
E06000026,Plymouth,3,3 people in household,17651,15.41
E06000026,Plymouth,4,4 people in household,13129,11.46
E06000026,Plymouth,5,5 people in household,4290,3.74
E06000026,Plymouth,6,6 people in household,1347,1.18
E06000026,Plymouth,7,7 people in household,379,0.33
E06000026,Plymouth,8,8 or more people in household,245,0.21
E06000032,Luton,1,1 person in household,21068,26.69
E06000032,Luton,2,2 people in household,20469,25.93
E06000032,Luton,3,3 people in household,13153,16.66
E06000032,Luton,4,4 people in household,11529,14.6
E06000032,Luton,5,5 people in household,6476,8.2
E06000032,Luton,6,6 people in household,3335,4.22
E06000032,Luton,7,7 people in household,1596,2.02
E06000032,Luton,8,8 or more people in household,1314,1.66
E06000038,Reading,1,1 person in household,19262,28.46
E06000038,Reading,2,2 people in household,21183,31.3
E06000038,Reading,3,3 people in household,11577,17.1
E06000038,Reading,4,4 people in household,9585,14.16
E06000038,Reading,5,5 people in household,3685,5.44
E06000038,Reading,6,6 people in household,1426,2.11
E06000038,Reading,7,7 people in household,584,0.86
E06000038,Reading,8,8 or more people in household,381,0.56
E06000043,Brighton and Hove,1,1 person in household,42101,34.68
E06000043,Brighton and Hove,2,2 people in household,40770,33.58
E06000043,Brighton and Hove,3,3 people in household,18122,14.93
E06000043,Brighton and Hove,4,4 people in household,14243,11.73
E06000043,Brighton and Hove,5,5 people in household,4244,3.5
E06000043,Brighton and Hove,6,6 people in household,1380,1.14
E06000043,Brighton and Hove,7,7 people in household,352,0.29
