Country,Region,BUA name,BUA size classification,Counts,Counts_1,Counts_2,Counts_3,Counts_4,Counts_5
England,Yorkshire and The Humber,Rufforth,Minor,650,1015,1045,1045,1045,1045
England,West Midlands,Dudleston Heath,Minor,535,0,0,0,0,0
England,South East,Godstone,Minor,2650,10445,10445,10445,10445,10445
England,East Midlands,Charlesworth,Minor,855,1045,1045,1045,1045,1045
England,North West,Rainow,Minor,620,1065,1065,1065,1065,1065
England,North East,Hadston,Minor,2710,1085,1085,1085,1085,1085
England,East Midlands,Bilsby,Minor,235,101,101,101,101,101
England,South West,Marnhull,Minor,1465,1045,1045,1045,1045,1045
England,South West,Bradworthy,Minor,725,1015,1015,1015,1015,1015
England,South East,Burley Street,Minor,375,N/A,N/A,N/A,N/A,N/A
England,South East,Nettlebed,Minor,780,1035,1035,1035,1035,1035
England,South West,Probus,Minor,2565,0,0,0,0,0
England,West Midlands,Gorsley Common,Minor,665,N/A,N/A,N/A,N/A,N/A
England,South West,St Newlyn East,Minor,1040,1065,1065,1065,1065,1065
England,West Midlands,Gospel End,Minor,845,0,0,0,0,0
England,South East,Twyford (Winchester),Minor,1480,10300,10300,10300,10300,10300
England,South East,Tower Hill,Minor,325,0,0,0,0,0
England,South East,Durfold Wood,Minor,400,0,0,0,0,0
England,East of England,Martlesham,Minor,1980,10300,10300,10300,10300,10300
England,South West,Kilve,Minor,355,0,0,0,0,0
England,South East,North Chailey,Minor,1010,10300,10300,10300,10300,10300
England,South East,Ninfield,Minor,1295,1045,1065,1065,1065,1065
England,North West,Hurst Green (Ribble Valley),Minor,940,1045,1045,1045,1045,1045
England,North West,Whitworth,Small,6715,10445,10400,10400,10400,10400
England,North West,Standish,Small,12940,10300,10300,10300,10300,10300
England,Yorkshire and The Humber,Driffield,Small,13215,20800,24300,24300,24300,24300
England,South East,Midhurst,Small,5370,10300,10300,10300,10300,10300
England,North West,Wigton,Small,5395,1025,1045,1045,1045,1045
England,East Midlands,Stapleford,Small,15045,10300,10445,10445,10445,10445
England,East of England,Yaxley (Huntingdonshire),Small,9405,10300,10300,10300,10300,10300
England,West Midlands,Bayston Hill,Small,5220,0,0,0,0,0
England,South East,Weybridge,Small,15915,27451,27400,27400,27400,27400
England,South East,Godalming,Small,10450,31900,31900,31900,31900,31900
England,North East,Shiremoor,Small,6955,1035,1035,1035,1035,1035
England,East of England,Sawston,Small,7270,10300,10300,10300,10300,10300
England,East Midlands,Ashby-de-la-Zouch,Small,15120,32400,32400,32400,32400,32400
England,Yorkshire and The Humber,Moorends,Small,5195,1025,1025,1025,1025,1025
England,East Midlands,Horncastle,Small,7295,10200,10200,10200,10200,10200
England,Yorkshire and The Humber,Sherburn in Elmet,Small,8570,10400,10400,10400,10400,10400
England,South West,Somerton,Small,5100,10400,10400,10400,10400,10400
England,North West,Little Lever,Small,12525,10445,10445,10445,10445,10445
England,East Midlands,Lutterworth,Small,10520,29400,29400,29400,29400,29400
England,Yorkshire and The Humber,North Anston,Small,6605,10445,10370,10370,10370,10370
England,East of England,Wivenhoe,Small,7350,10300,10300,10300,10300,10300
England,North West,Littleborough,Small,12160,29400,29400,29400,29400,29400
England,North West,Shevington,Small,5320,10300,10370,10370,10370,10370
