Country,Region,BUA name,BUA size classification,Counts,Counts_1,Counts_2,Counts_3,Counts_4,Counts_5
England,Yorkshire and The Humber,Rufforth,Minor,650,1500,1500,1500,1500,1500
England,West Midlands,Dudleston Heath,Minor,535,350,350,350,350,350
England,South East,Godstone,Minor,2650,5000,5000,5000,5000,5000
England,East Midlands,Charlesworth,Minor,855,3500,3500,3500,3500,3500
England,North West,Rainow,Minor,620,800,800,800,800,800
England,North East,Hadston,Minor,2710,1500,1500,1500,1500,1500
England,East Midlands,Bilsby,Minor,235,350,350,350,350,350
England,South West,Marnhull,Minor,1465,800,800,800,800,800
England,South West,Bradworthy,Minor,725,800,800,800,800,800
England,South East,Burley Street,Minor,375,350,350,350,350,350
England,South East,Nettlebed,Minor,780,1500,1500,1500,1500,1500
England,South West,Probus,Minor,2565,3000,3000,3000,3000,3000
England,West Midlands,Gorsley Common,Minor,665,350,350,350,350,350
England,South West,St Newlyn East,Minor,1040,3500,3500,3500,3500,3500
England,West Midlands,Gospel End,Minor,845,300,300,300,300,300
England,South East,Twyford (Winchester),Minor,1480,3500,3500,3500,3500,3500
England,South East,Tower Hill,Minor,325,3000,3000,3000,3000,3000
England,South East,Durfold Wood,Minor,400,500,500,500,500,500
England,East of England,Martlesham,Minor,1980,7500,7500,7500,7500,7500
England,South West,Kilve,Minor,355,350,350,350,350,350
England,South East,North Chailey,Minor,1010,1500,1500,1500,1500,1500
England,South East,Ninfield,Minor,1295,3500,3500,3500,3500,3500
England,North West,Hurst Green (Ribble Valley),Minor,940,1500,1500,1500,1500,1500
England,North West,Whitworth,Small,6715,18000,18000,18000,18000,18000
England,North West,Standish,Small,12940,15000,15000,15000,15000,15000
England,Yorkshire and The Humber,Driffield,Small,13215,7900,7800,7800,7800,7800
England,South East,Midhurst,Small,5370,5800,5600,5600,5600,5600
England,North West,Wigton,Small,5395,8500,8500,8500,8500,8500
England,East Midlands,Stapleford,Small,15045,30000,30000,30000,30000,30000
England,East of England,Yaxley (Huntingdonshire),Small,9405,7500,7500,7500,7500,7500
England,West Midlands,Bayston Hill,Small,5220,1500,1500,1500,1500,1500
England,South East,Weybridge,Small,15915,35000,35000,35000,35000,35000
England,South East,Godalming,Small,10450,23000,25000,25000,25000,25000
England,North East,Shiremoor,Small,6955,3500,3500,3500,3500,3500
England,East of England,Sawston,Small,7270,4500,4500,4500,4500,4500
England,East Midlands,Ashby-de-la-Zouch,Small,15120,30000,30000,30000,30000,30000
England,Yorkshire and The Humber,Moorends,Small,5195,7500,7500,7500,7500,7500
England,East Midlands,Horncastle,Small,7295,7500,7500,7500,7500,7500
England,Yorkshire and The Humber,Sherburn in Elmet,Small,8570,7500,7500,7500,7500,7500
England,South West,Somerton,Small,5100,6500,6500,6500,6500,6500
England,North West,Little Lever,Small,12525,13000,13000,13000,13000,13000
England,East Midlands,Lutterworth,Small,10520,13000,13000,13000,13000,13000
England,Yorkshire and The Humber,North Anston,Small,6605,6500,6500,6500,6500,6500
England,East of England,Wivenhoe,Small,7350,7500,7500,7500,7500,7500
England,North West,Littleborough,Small,12160,19500,19500,19500,19500,19500
England,North West,Shevington,Small,5320,3500,3500,3500,3500,3500
England,East Midlands,Long Eaton,Medium,37820,20500,20500,20500,20500,20500
England,South West,Newquay,Medium,24545,21000,21000,21000,21000,21000
England,Yorkshire and The Humber,Barnsley,Medium,71405,235897,235987,235987,235987,235987
England,North East,Washington,Medium,51320,49876,48000,48000,48000,48000
England,North East,Billingham,Medium,33920,56000,56000,56000,56000,56000
England,South West,Trowbridge,Medium,43750,16000,16000,16000,16000,16000
England,North West,Dukinfield,Medium,21155,30000,30000,30000,30000,30000
England,West Midlands,Coseley,Medium,25205,35000,35000,35000,35000,35000
England,East Midlands,Kettering,Medium,63150,96857,96857,96857,96857,96857
England,West Midlands,Great Malvern,Medium,33185,35000,35000,35000,35000,35000
England,East Midlands,Spalding,Medium,30550,36000,36000,36000,36000,36000
England,South East,Burgess Hill,Medium,33355,35000,35000,35000,35000,35000
England,South West,Weymouth,Medium,55535,63789,63789,63789,63789,63789
England,South East,Shoreham-by-Sea,Medium,23660,30000,30000,30000,30000,30000
England,East Midlands,Wigston,Medium,34730,35000,35000,35000,35000,35000
England,East of England,Kempston,Medium,22785,35000,34000,34000,34000,34000
England,North East,Hebburn,Medium,21345,38000,38000,38000,38000,38000
England,West Midlands,Willenhall,Medium,49580,45000,45000,45000,45000,45000
England,East Midlands,Kirkby-in-Ashfield,Medium,21270,38000,38000,38000,38000,38000
England,East Midlands,Grantham,Medium,44905,43000,43000,43000,43000,43000
England,South West,Barnstaple,Medium,31275,34000,34000,34000,34000,34000
England,South West,Quedgeley and Hardwicke,Medium,21125,15000,15000,15000,15000,15000
England,North West,Kendal,Medium,28940,28975,28974,28974,28974,28974
England,North East,Sunderland,Large,168315,275000,275000,275000,275000,275000
England,South East,Gillingham (Medway),Large,108480,89000,89675,89675,89675,89675
England,North West,Oldham,Large,110720,235869,235869,235869,235869,235869
England,West Midlands,Rugby,Large,78120,75000,75000,75000,75000,75000
England,South East,Guildford,Large,77880,84397,84397,84397,84397,84397
England,East of England,Southend-on-Sea,Large,182305,174000,174000,174000,174000,174000
England,North West,Blackburn (Blackburn with Darwen),Large,124955,145000,145000,145000,145000,145000
England,South East,Maidstone,Large,109490,105000,105000,105000,105000,105000
England,Yorkshire and The Humber,Harrogate,Large,75515,75000,75000,75000,75000,75000
England,North West,Carlisle,Large,77730,106987,106987,106987,106987,106987
England,North West,Rochdale,Large,111255,105000,105000,105000,105000,105000
England,South West,Weston-super-Mare,Large,84605,76983,76983,76983,76983,76983
England,South East,Basingstoke,Large,117210,183967,183967,183967,183967,183967
England,North West,Preston (Preston),Large,94490,143789,143789,143789,143789,143789
England,South West,Bournemouth,Large,196455,193687,195847,195847,195847,195847
England,North East,Hartlepool,Large,87995,93000,93000,93000,93000,93000
England,West Midlands,Tamworth,Large,76090,75000,75000,75000,75000,75000
England,East of England,Hemel Hempstead,Large,95985,95000,95000,95000,95000,95000
England,West Midlands,Solihull,Large,107735,209783,209783,209783,209783,209783
England,South West,Poole,Large,141005,163900,163800,163800,163800,163800
England,Yorkshire and The Humber,Halifax,Large,88115,96857,96874,96874,96874,96874
England,East of England,Stevenage,Large,94470,95000,95000,95000,95000,95000
England,South East,Crawley (Crawley),Large,120550,110000,110000,110000,110000,110000
England,West Midlands,Coventry,Major,344285,345897,340000,340000,340000,340000
England,South East,Reading,Major,203795,150000,150000,150000,150000,150000
England,East of England,Norwich,Major,200770,134500,134500,134500,134500,134500
England,East Midlands,Northampton,Major,243520,213987,213497,213497,213497,213497
England,Yorkshire and The Humber,Leeds,Major,536280,793648,793648,793648,793648,793648
England,Yorkshire and The Humber,Kingston upon Hull,Major,270810,256798,256793,256793,256793,256793
England,East Midlands,Leicester,Major,406580,345600,345600,345600,345600,345600
England,North West,Manchester,Major,470405,553600,553600,553600,553600,553600
England,Yorkshire and The Humber,Sheffield,Major,500535,553600,553600,553600,553600,553600
England,East Midlands,Derby,Major,275575,256983,256987,256987,256987,256987
England,North East,Newcastle upon Tyne,Major,286445,305000,305000,305000,305000,305000
England,West Midlands,Birmingham,Major,1121375,1148369,1148367,1148367,1148367,1148367
England,West Midlands,Wolverhampton,Major,234025,256300,256300,256300,256300,256300
England,South East,Brighton and Hove,Major,277105,534000,534000,534000,534000,534000
England,South East,Southampton,Major,249620,258300,258300,258300,258300,258300
