Country code,Country,Region code,Region,BUA code,BUA name,BUA size classification, Counts 
E92000001,England,E12000002,North West,E63000162,Abbeytown,Minor, 755 
E92000001,England,E12000005,West Midlands,E63002230,Abbots Bromley,Minor," 1,330 "
E92000001,England,E12000006,East of England,E63004551,Abbots Langley and Kings Langley,Small," 18,205 "
E92000001,England,E12000009,South West,E63005038,Abbots Leigh,Minor, 300 
E92000001,England,E12000006,East of England,E63003023,Abbots Ripton,Minor, 310 
E92000001,England,E12000009,South West,E63006777,Abbotsbury,Minor, 215 
E92000001,England,E12000009,South West,E63006873,Abbotskerswell,Minor," 1,185 "
E92000001,England,E12000006,East of England,E63003468,Abbotsley,Minor, 420 
E92000001,England,E12000008,South East,E63005740,Abbotts Ann,Minor, 570 
E92000001,England,E12000003,Yorkshire and The Humber,E63000742,Aberford,Minor," 1,550 "
E92000001,England,E12000008,South East,E63004647,Abingdon-on-Thames,Medium," 33,175 "
E92000001,England,E12000008,South East,E63005685,Abinger Common,Minor, 290 
E92000001,England,E12000008,South East,E63006326,Abingworth,Minor," 1,040 "
E92000001,England,E12000006,East of England,E63004670,Abridge,Minor," 1,650 "
E92000001,England,E12000003,Yorkshire and The Humber,E63000663,Acaster Malbis,Minor, 325 
E92000001,England,E12000002,North West,E63000864,Accrington,Medium," 34,895 "
E92000001,England,E12000005,West Midlands,E63002715,Ackleton,Minor, 295 
E92000001,England,E12000001,North East,E63000024,Acklington,Minor, 305 
E92000001,England,E12000003,Yorkshire and The Humber,E63001024,Ackworth Moor Top,Small," 6,280 "
E92000001,England,E12000006,East of England,E63002494,Acle,Minor," 2,265 "
E92000001,England,E12000001,North East,E63000082,Acomb,Minor," 1,155 "
E92000001,England,E12000006,East of England,E63003721,Acton,Minor," 1,665 "
E92000001,England,E12000002,North West,E63001570,Acton Bridge,Minor, 185 
E92000001,England,E12000005,West Midlands,E63002658,Acton Burnell,Minor, 405 
E92000001,England,E12000005,West Midlands,E63002335,Acton Trussell,Minor, 745 
E92000001,England,E12000009,South West,E63004915,Acton Turville,Minor, 350 
E92000001,England,E12000008,South East,E63003914,Adderbury and Twyford,Minor," 3,320 "
E92000001,England,E12000003,Yorkshire and The Humber,E63000624,Addingham,Minor," 3,250 "
E92000001,England,E12000008,South East,E63005376,Addington,Minor, 545 
E92000001,England,E12000008,South East,E63005226,Addlestone,Small," 13,745 "
E92000001,England,E12000008,South East,E63005496,Adisham,Minor, 655 
E92000001,England,E12000002,North West,E63001060,Adlington (Chorley),Small," 8,780 "
E92000001,England,E12000003,Yorkshire and The Humber,E63001134,Adwick le Street,Small," 18,325 "
E92000001,England,E12000002,North West,E63001111,Ainsworth,Minor," 1,590 "
E92000001,England,E12000002,North West,E63001282,Aintree,Small," 6,215 "
E92000001,England,E12000003,Yorkshire and The Humber,E63000908,Airmyn,Minor, 730 
E92000001,England,E12000003,Yorkshire and The Humber,E63000413,Aiskew,Minor," 1,760 "
E92000001,England,E12000004,East Midlands,E63001495,Aisthorpe and Brattleby,Minor, 110 
