Country,Region,BUA name,BUA size classification,Counts
England,Yorkshire and The Humber,Rufforth,Minor,650
England,West Midlands,Dudleston Heath,Minor,535
England,South East,Godstone,Minor,2650
England,East Midlands,Charlesworth,Minor,855
England,North West,Rainow,Minor,620
England,North East,Hadston,Minor,2710
England,East Midlands,Bilsby,Minor,235
England,South West,Marnhull,Minor,1465
England,South West,Bradworthy,Minor,725
England,South East,Burley Street,Minor,375
England,South East,Nettlebed,Minor,780
England,South West,Probus,Minor,2565
England,West Midlands,Gorsley Common,Minor,665
England,South West,St Newlyn East,Minor,1040
England,West Midlands,Gospel End,Minor,845
England,South East,Twyford (Winchester),Minor,1480
England,South East,Tower Hill,Minor,325
England,South East,Durfold Wood,Minor,400
England,East of England,Martlesham,Minor,1980
England,South West,Kilve,Minor,355
England,South East,North Chailey,Minor,1010
England,South East,Ninfield,Minor,1295
England,North West,Hurst Green (Ribble Valley),Minor,940
England,North West,Whitworth,Small,6715
England,North West,Standish,Small,12940
England,Yorkshire and The Humber,Driffield,Small,13215
England,South East,Midhurst,Small,5370
England,North West,Wigton,Small,5395
England,East Midlands,Stapleford,Small,15045
England,East of England,Yaxley (Huntingdonshire),Small,9405
England,West Midlands,Bayston Hill,Small,5220
England,South East,Weybridge,Small,15915
England,South East,Godalming,Small,10450
England,North East,Shiremoor,Small,6955
England,East of England,Sawston,Small,7270
England,East Midlands,Ashby-de-la-Zouch,Small,15120
England,Yorkshire and The Humber,Moorends,Small,5195
England,East Midlands,Horncastle,Small,7295
England,Yorkshire and The Humber,Sherburn in Elmet,Small,8570
England,South West,Somerton,Small,5100
England,North West,Little Lever,Small,12525
England,East Midlands,Lutterworth,Small,10520
England,Yorkshire and The Humber,North Anston,Small,6605
England,East of England,Wivenhoe,Small,7350
England,North West,Littleborough,Small,12160
England,North West,Shevington,Small,5320
England,East Midlands,Long Eaton,Medium,37820
England,South West,Newquay,Medium,24545
England,Yorkshire and The Humber,Barnsley,Medium,71405
England,North East,Washington,Medium,51320
England,North East,Billingham,Medium,33920
England,South West,Trowbridge,Medium,43750
England,North West,Dukinfield,Medium,21155
England,West Midlands,Coseley,Medium,25205
England,East Midlands,Kettering,Medium,63150
England,West Midlands,Great Malvern,Medium,33185
England,East Midlands,Spalding,Medium,30550
England,South East,Burgess Hill,Medium,33355
England,South West,Weymouth,Medium,55535
England,South East,Shoreham-by-Sea,Medium,23660
England,East Midlands,Wigston,Medium,34730
England,East of England,Kempston,Medium,22785
England,North East,Hebburn,Medium,21345
England,West Midlands,Willenhall,Medium,49580
England,East Midlands,Kirkby-in-Ashfield,Medium,21270
England,East Midlands,Grantham,Medium,44905
England,South West,Barnstaple,Medium,31275
England,South West,Quedgeley and Hardwicke,Medium,21125
England,North West,Kendal,Medium,28940
England,North East,Sunderland,Large,168315
England,South East,Gillingham (Medway),Large,108480
England,North West,Oldham,Large,110720
England,West Midlands,Rugby,Large,78120
England,South East,Guildford,Large,77880
England,East of England,Southend-on-Sea,Large,182305
England,North West,Blackburn (Blackburn with Darwen),Large,124955
England,South East,Maidstone,Large,109490
England,Yorkshire and The Humber,Harrogate,Large,75515
England,North West,Carlisle,Large,77730
England,North West,Rochdale,Large,111255
England,South West,Weston-super-Mare,Large,84605
England,South East,Basingstoke,Large,117210
England,North West,Preston (Preston),Large,94490
England,South West,Bournemouth,Large,196455
England,North East,Hartlepool,Large,87995
England,West Midlands,Tamworth,Large,76090
England,East of England,Hemel Hempstead,Large,95985
England,West Midlands,Solihull,Large,107735
England,South West,Poole,Large,141005
England,Yorkshire and The Humber,Halifax,Large,88115
England,East of England,Stevenage,Large,94470
England,South East,Crawley (Crawley),Large,120550
England,West Midlands,Coventry,Major,344285
England,South East,Reading,Major,203795
England,East of England,Norwich,Major,200770
England,East Midlands,Northampton,Major,243520
England,Yorkshire and The Humber,Leeds,Major,536280
England,Yorkshire and The Humber,Kingston upon Hull,Major,270810
England,East Midlands,Leicester,Major,406580
England,North West,Manchester,Major,470405
England,Yorkshire and The Humber,Sheffield,Major,500535
England,East Midlands,Derby,Major,275575
England,North East,Newcastle upon Tyne,Major,286445
England,West Midlands,Birmingham,Major,1121375
England,West Midlands,Wolverhampton,Major,234025
England,South East,Brighton and Hove,Major,277105
England,South East,Southampton,Major,249620
England,South West,Plymouth,Major,266955
England,East of England,Luton,Major,233525
England,East Midlands,Nottingham,Major,299790
England,North West,Liverpool,Major,506565
England,Yorkshire and The Humber,Bradford,Major,333950
England,South East,Portsmouth,Major,223305
England,West Midlands,Stoke-on-Trent,Major,260560
England,South West,Bristol,Major,425215
