Upper tier local authorities Code,Upper tier local authorities,Sex (2 categories) Code,Sex (2 categories),Age (B) (18 categories) Code,Age (B) (18 categories),Observation
E08000012,Liverpool,1,Female,1,Aged 4 years and under,12893
E08000012,Liverpool,1,Female,2,Aged 5 to 9 years,13046
E08000012,Liverpool,1,Female,3,Aged 10 to 14 years,12376
E08000012,Liverpool,1,Female,4,Aged 15 to 19 years,17457
E08000012,Liverpool,1,Female,5,Aged 20 to 24 years,25629
E08000012,Liverpool,1,Female,6,Aged 25 to 29 years,19296
E08000012,Liverpool,1,Female,7,Aged 30 to 34 years,18768
E08000012,Liverpool,1,Female,8,Aged 35 to 39 years,16848
E08000012,Liverpool,1,Female,9,Aged 40 to 44 years,14000
E08000012,Liverpool,1,Female,10,Aged 45 to 49 years,13278
E08000012,Liverpool,1,Female,11,Aged 50 to 54 years,14845
E08000012,Liverpool,1,Female,12,Aged 55 to 59 years,16153
E08000012,Liverpool,1,Female,13,Aged 60 to 64 years,14229
E08000012,Liverpool,1,Female,14,Aged 65 to 69 years,11549
E08000012,Liverpool,1,Female,15,Aged 70 to 74 years,10505
E08000012,Liverpool,1,Female,16,Aged 75 to 79 years,7232
E08000012,Liverpool,1,Female,17,Aged 80 to 84 years,5743
E08000012,Liverpool,1,Female,18,Aged 85 years and over,5611
E08000012,Liverpool,2,Male,1,Aged 4 years and under,13476
E08000012,Liverpool,2,Male,2,Aged 5 to 9 years,13680
E08000012,Liverpool,2,Male,3,Aged 10 to 14 years,12868
E08000012,Liverpool,2,Male,4,Aged 15 to 19 years,16389
E08000012,Liverpool,2,Male,5,Aged 20 to 24 years,23708
E08000012,Liverpool,2,Male,6,Aged 25 to 29 years,18786
E08000012,Liverpool,2,Male,7,Aged 30 to 34 years,18546
E08000012,Liverpool,2,Male,8,Aged 35 to 39 years,16289
E08000012,Liverpool,2,Male,9,Aged 40 to 44 years,13773
E08000012,Liverpool,2,Male,10,Aged 45 to 49 years,13301
E08000012,Liverpool,2,Male,11,Aged 50 to 54 years,14310
E08000012,Liverpool,2,Male,12,Aged 55 to 59 years,14506
E08000012,Liverpool,2,Male,13,Aged 60 to 64 years,13313
E08000012,Liverpool,2,Male,14,Aged 65 to 69 years,10870
E08000012,Liverpool,2,Male,15,Aged 70 to 74 years,9489
E08000012,Liverpool,2,Male,16,Aged 75 to 79 years,6028
E08000012,Liverpool,2,Male,17,Aged 80 to 84 years,4248
E08000012,Liverpool,2,Male,18,Aged 85 years and over,3045
