Upper tier local authorities Code,Upper tier local authorities,Occupation (current) (10 categories) Code,Occupation (current) (10 categories),Observation
E08000012,Liverpool,-8,Does not apply,280338
E08000012,Liverpool,1,"1. Managers, directors and senior officials",17700
E08000012,Liverpool,2,2. Professional occupations,42403
E08000012,Liverpool,3,3. Associate professional and technical occupations,24736
E08000012,Liverpool,4,4. Administrative and secretarial occupations,21341
E08000012,Liverpool,5,5. Skilled trades occupations,16279
E08000012,Liverpool,6,"6. Caring, leisure and other service occupations",21874
E08000012,Liverpool,7,7. Sales and customer service occupations,19228
E08000012,Liverpool,8,"8. Process, plant and machine operatives",15241
E08000012,Liverpool,9,9. Elementary occupations,26948
