Upper tier local authorities Code,Upper tier local authorities,Occupation (current) (10 categories) Code,Occupation (current) (10 categories),Observation
E08000021,Newcastle upon Tyne,1,"1. Managers, directors and senior officials",11448
E08000021,Newcastle upon Tyne,2,2. Professional occupations,30729
E08000021,Newcastle upon Tyne,3,3. Associate professional and technical occupations,15060
E08000021,Newcastle upon Tyne,4,4. Administrative and secretarial occupations,11029
E08000021,Newcastle upon Tyne,5,5. Skilled trades occupations,10037
E08000021,Newcastle upon Tyne,6,"6. Caring, leisure and other service occupations",11694
E08000021,Newcastle upon Tyne,7,7. Sales and customer service occupations,12573
E08000021,Newcastle upon Tyne,8,"8. Process, plant and machine operatives",7906
E08000021,Newcastle upon Tyne,9,9. Elementary occupations,14602
E08000021,Newcastle upon Tyne,10,10. Does not apply,175047
