Upper tier local authorities Code,Upper tier local authorities,Age (86 categories) Code,Age (86 categories),Observation
E06000010,Kingston upon Hull,0,Aged under 1 year,3088
E06000010,Kingston upon Hull,1,Aged 1 year,3207
E06000010,Kingston upon Hull,2,Aged 2 years,3143
E06000010,Kingston upon Hull,3,Aged 3 years,3191
E06000010,Kingston upon Hull,4,Aged 4 years,3325
E06000010,Kingston upon Hull,5,Aged 5 years,3393
E06000010,Kingston upon Hull,6,Aged 6 years,3297
E06000010,Kingston upon Hull,7,Aged 7 years,3390
E06000010,Kingston upon Hull,8,Aged 8 years,3697
E06000010,Kingston upon Hull,9,Aged 9 years,3564
E06000010,Kingston upon Hull,10,Aged 10 years,3471
E06000010,Kingston upon Hull,11,Aged 11 years,3329
E06000010,Kingston upon Hull,12,Aged 12 years,3345
E06000010,Kingston upon Hull,13,Aged 13 years,3360
E06000010,Kingston upon Hull,14,Aged 14 years,3231
E06000010,Kingston upon Hull,15,Aged 15 years,3104
E06000010,Kingston upon Hull,16,Aged 16 years,3084
E06000010,Kingston upon Hull,17,Aged 17 years,2944
E06000010,Kingston upon Hull,18,Aged 18 years,3024
E06000010,Kingston upon Hull,19,Aged 19 years,3328
E06000010,Kingston upon Hull,20,Aged 20 years,3795
E06000010,Kingston upon Hull,21,Aged 21 years,4032
E06000010,Kingston upon Hull,22,Aged 22 years,3727
E06000010,Kingston upon Hull,23,Aged 23 years,4024
E06000010,Kingston upon Hull,24,Aged 24 years,3848
E06000010,Kingston upon Hull,25,Aged 25 years,3817
E06000010,Kingston upon Hull,26,Aged 26 years,3980
E06000010,Kingston upon Hull,27,Aged 27 years,4034
E06000010,Kingston upon Hull,28,Aged 28 years,4183
E06000010,Kingston upon Hull,29,Aged 29 years,4206
E06000010,Kingston upon Hull,30,Aged 30 years,4351
E06000010,Kingston upon Hull,31,Aged 31 years,4133
E06000010,Kingston upon Hull,32,Aged 32 years,4140
E06000010,Kingston upon Hull,33,Aged 33 years,4133
E06000010,Kingston upon Hull,34,Aged 34 years,4061
E06000010,Kingston upon Hull,35,Aged 35 years,4052
E06000010,Kingston upon Hull,36,Aged 36 years,3837
E06000010,Kingston upon Hull,37,Aged 37 years,3736
