Approach,Prompt,Model,Location,TVD_hh_size,TVD_age,TVD_occ,TVD_hh_type,TVD_mean,JSD_hh_size,JSD_age,JSD_occ,JSD_hh_type,JSD_mean
A,1,gpt-4o,Newcastle,0.727,0.495,0.309,0.797,0.582,0.509,0.300,0.118,0.583,0.378
A,2,gpt-4o,Newcastle,0.005,0.552,0.392,0.333,0.320,0.000,0.323,0.155,0.148,0.156
B,1,gpt-4o,Newcastle,0.352,0.294,0.062,0.498,0.301,0.192,0.093,0.005,0.266,0.139
B,2,gpt-4o,Newcastle,0.236,0.252,0.152,0.358,0.250,0.070,0.072,0.023,0.108,0.068
B,3,gpt-4o,Newcastle,0.003,0.135,0.178,0.323,0.160,0.000,0.021,0.031,0.094,0.037
C,1,gpt-4o-mini,Newcastle,0.309,0.413,0.251,0.577,0.387,0.153,0.193,0.082,0.345,0.193
C,1,gpt-4o-mini,Liverpool,0.298,0.381,0.258,0.515,0.363,0.147,0.167,0.096,0.301,0.178
C,1,llama,Newcastle,0.457,0.275,0.427,0.369,0.382,0.216,0.094,0.160,0.183,0.163
C,1,gpt-4o,Liverpool,0.013,0.066,0.019,0.239,0.084,0.002,0.007,0.001,0.056,0.016
C,1,gpt-4o,Newcastle,0.031,0.082,0.026,0.209,0.087,0.004,0.012,0.001,0.043,0.015
C,1,gpt-4o,Portsmouth,0.010,0.093,0.015,0.232,0.088,0.002,0.012,0.000,0.056,0.018
C,2,gpt-4o-mini,Newcastle,0.141,0.096,0.025,0.227,0.123,0.056,0.011,0.001,0.083,0.038
C,2,gpt-4o,Newcastle,0.032,0.086,0.027,0.122,0.067,0.008,0.010,0.001,0.020,0.010
D,1,gpt-4o-mini,Newcastle,0.218,0.213,0.176,0.233,0.210,0.080,0.075,0.029,0.059,0.061
D,1,gpt-4o,Newcastle,0.152,0.210,0.157,0.142,0.165,0.050,0.055,0.021,0.041,0.042
D,2,gpt-4o,Newcastle,0.192,0.216,0.230,0.133,0.193,0.056,0.061,0.053,0.028,0.050
D,3,gpt-4o,Newcastle,0.112,0.165,0.140,0.140,0.139,0.030,0.039,0.017,0.031,0.029
